Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	AlphaFoldDB	PDB	Taxonomic lineage	Taxonomic lineage (Ids)	Organism (ID)
A0A1V4ZJM4	unreviewed	A0A1V4ZJM4_9ARCH	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk A4E32_00438	Methanomassiliicoccales archaeon PtaU1.Bin124	724	A0A1V4ZJM4;		unclassified Methanomassiliicoccales (no rank), Methanomassiliicoccales (order), Thermoplasmata (class), Candidatus Thermoplasmatota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1577790 (no rank), 1235850 (order), 183967 (class), 2283796 (phylum), 2157 (superkingdom), 131567 (no rank)	1811730
A0A1V4ZVY3	unreviewed	A0A1V4ZVY3_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk A4E41_01953	Methanoregulaceae archaeon PtaU1.Bin066	715	A0A1V4ZVY3;		unclassified Methanoregulaceae (no rank), Methanoregulaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1811719 (no rank), 1198451 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1811725
A0A1V5AAE7	unreviewed	A0A1V5AAE7_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk A4E40_00300	Methanoregulaceae archaeon PtaU1.Bin059	715	A0A1V5AAE7;		unclassified Methanoregulaceae (no rank), Methanoregulaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1811719 (no rank), 1198451 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1811724
A0A1V5AH59	unreviewed	A0A1V5AH59_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk A4E42_00877	Methanoregulaceae archaeon PtaU1.Bin222	707	A0A1V5AH59;		unclassified Methanoregulaceae (no rank), Methanoregulaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1811719 (no rank), 1198451 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1811726
A0A1V5IEH1	unreviewed	A0A1V5IEH1_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk BWY93_01752	Euryarchaeota archaeon ADurb.BinA087	723	A0A1V5IEH1;		unclassified Euryarchaeota (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	115531 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1852879
A0A1V5SY10	unreviewed	A0A1V5SY10_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk BWY45_00790	Euryarchaeota archaeon ADurb.Bin294	720	A0A1V5SY10;		unclassified Euryarchaeota (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	115531 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1852878
A0A1V5SZ89	unreviewed	A0A1V5SZ89_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk BWY45_00589	Euryarchaeota archaeon ADurb.Bin294	715	A0A1V5SZ89;		unclassified Euryarchaeota (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	115531 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1852878
A0A219AL06	unreviewed	A0A219AL06_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk BGI41_05385	Methanobrevibacter sp. 87.7	732	A0A219AL06;		unclassified Methanobrevibacter (no rank), Methanobrevibacter (genus), Methanobacteriaceae (family), Methanobacteriales (order), Methanobacteria (class), Methanomada group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2638681 (no rank), 2172 (genus), 2159 (family), 2158 (order), 183925 (class), 2283794 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	387957
A0A238XYA0	unreviewed	A0A238XYA0_HALVU	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk SAMN06264855_12520	Halorubrum vacuolatum (Natronobacterium vacuolatum)	744	A0A238XYA0;		Halorubrum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	56688 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	63740
A0A256H3Y5	unreviewed	A0A256H3Y5_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk DJ82_11180	Halorubrum sp. Ib24	793	A0A256H3Y5;		unclassified Halorubrum (no rank), Halorubrum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2642239 (no rank), 56688 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1383850
A0A256HCN7	unreviewed	A0A256HCN7_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk DJ75_13150	Halorubrum sp. Eb13	793	A0A256HCN7;		unclassified Halorubrum (no rank), Halorubrum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2642239 (no rank), 56688 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1383843
A0A256I3D9	unreviewed	A0A256I3D9_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk DJ73_14645	Halorubrum sp. Ea1	793	A0A256I3D9;		unclassified Halorubrum (no rank), Halorubrum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2642239 (no rank), 56688 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1480718
A0A256IDK7	unreviewed	A0A256IDK7_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk DJ70_13545	Halorubrum halodurans	795	A0A256IDK7;		Halorubrum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	56688 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1383851
A0A256IRU7	unreviewed	A0A256IRU7_HALEZ	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk DJ83_14280 EO776_10665	Halorubrum ezzemoulense (Halorubrum chaoviator)	805	A0A256IRU7;		Halorubrum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	56688 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	337243
A0A256J1G9	unreviewed	A0A256J1G9_HALEZ	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk DJ83_04940	Halorubrum ezzemoulense (Halorubrum chaoviator)	792	A0A256J1G9;		Halorubrum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	56688 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	337243
A0A256JN20	unreviewed	A0A256JN20_HALEZ	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk DJ78_10110	Halorubrum ezzemoulense (Halorubrum chaoviator)	793	A0A256JN20;		Halorubrum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	56688 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	337243
A0A256K245	unreviewed	A0A256K245_HALEZ	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk DJ76_03835	Halorubrum ezzemoulense (Halorubrum chaoviator)	805	A0A256K245;		Halorubrum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	56688 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	337243
A0A256KV53	unreviewed	A0A256KV53_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk DJ72_04665	Halorubrum distributum	793	A0A256KV53;		Halorubrum distributum group (no rank), Halorubrum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2703941 (no rank), 56688 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	29283
A0A256LUF0	unreviewed	A0A256LUF0_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk DJ71_01175	Halorubrum sp. E3	793	A0A256LUF0;		unclassified Halorubrum (no rank), Halorubrum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2642239 (no rank), 56688 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1483400
A0A285EQ40	unreviewed	A0A285EQ40_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk C7960_0433 SAMN06295989_101396	Methanohalophilus euhalobius	690	A0A285EQ40;		Methanohalophilus (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2175 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	51203
A0A285NXK5	unreviewed	A0A285NXK5_NATPI	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk SAMN06269185_1674	Natronoarchaeum philippinense	773	A0A285NXK5;		Natronoarchaeum (genus), Natronoarchaeaceae (family), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	926359 (genus), 2976354 (family), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	558529
A0A2A2HZ76	unreviewed	A0A2A2HZ76_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk ASJ81_02885	Methanosarcina spelaei	712	A0A2A2HZ76;		Methanosarcina (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2207 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1036679
A0A2A5QUA5	unreviewed	A0A2A5QUA5_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk CP557_07780	Natrinema ejinorense	789	A0A2A5QUA5;		Natrinema (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	88723 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	373386
A0A2B7GWM5	unreviewed	A0A2B7GWM5_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk CP556_13915	Natrinema sp. CBA1119	833	A0A2B7GWM5;		unclassified Natrinema (no rank), Natrinema (genus), Natrialbaceae (family), Natrialbales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2622230 (no rank), 88723 (genus), 1644061 (family), 1644060 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1608465
A0A2D3C8D1	unreviewed	A0A2D3C8D1_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk BKM01_09615	Methanohalophilus portucalensis	690	A0A2D3C8D1;		Methanohalophilus (genus), Methanosarcinaceae (family), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2175 (genus), 2206 (family), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	39664
A0A2E3FKB7	unreviewed	A0A2E3FKB7_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk CMB29_02300	Euryarchaeota archaeon	685			unclassified Euryarchaeota (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	115531 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2026739
A0A2G1WQR9	unreviewed	A0A2G1WQR9_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk Z052_15580	Halorubrum sp. C191	792	A0A2G1WQR9;		unclassified Halorubrum (no rank), Halorubrum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2642239 (no rank), 56688 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1383842
A0A2G1WZ95	unreviewed	A0A2G1WZ95_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk DJ68_19095	Halorubrum sp. C3	802	A0A2G1WZ95;		unclassified Halorubrum (no rank), Halorubrum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2642239 (no rank), 56688 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1483399
A0A2G1X670	unreviewed	A0A2G1X670_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk DJ68_05595	Halorubrum sp. C3	793	A0A2G1X670;		unclassified Halorubrum (no rank), Halorubrum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2642239 (no rank), 56688 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1483399
A0A2H4U772	unreviewed	A0A2H4U772_METSM	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk BK798_05610	Methanobrevibacter smithii	713	A0A2H4U772;		Methanobrevibacter (genus), Methanobacteriaceae (family), Methanobacteriales (order), Methanobacteria (class), Methanomada group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2172 (genus), 2159 (family), 2158 (order), 183925 (class), 2283794 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2173
A0A2H5A350	unreviewed	A0A2H5A350_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk BVU17_16525	Haloarcula taiwanensis	837	A0A2H5A350;		Haloarcula (genus), Haloarculaceae (family), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2237 (genus), 1963268 (family), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1932004
A0A2I0D3H5	unreviewed	A0A2I0D3H5_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk CW742_00025	Methanoregula sp	700	A0A2I0D3H5;		unclassified Methanoregula (no rank), Methanoregula (genus), Methanoregulaceae (family), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2649730 (no rank), 395331 (genus), 1198451 (family), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2052170
A0A2I0P2S7	unreviewed	A0A2I0P2S7_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk CVV33_02215	Methanomicrobiales archaeon HGW-Methanomicrobiales-4	725	A0A2I0P2S7;		unclassified Methanomicrobiales (no rank), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38064 (no rank), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2013820
A0A2I0PD65	unreviewed	A0A2I0PD65_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk CVV32_10745	Methanomicrobiales archaeon HGW-Methanomicrobiales-3	700	A0A2I0PD65;		unclassified Methanomicrobiales (no rank), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38064 (no rank), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2013819
A0A2I0PLW7	unreviewed	A0A2I0PLW7_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk CVV28_07585	Methanobacteriales archaeon HGW-Methanobacteriales-1	708	A0A2I0PLW7;		unclassified Methanobacteriales (no rank), Methanobacteriales (order), Methanobacteria (class), Methanomada group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	114580 (no rank), 2158 (order), 183925 (class), 2283794 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2013815
A0A2I0PWR0	unreviewed	A0A2I0PWR0_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk CVV30_04970	Methanomicrobiales archaeon HGW-Methanomicrobiales-1	700	A0A2I0PWR0;		unclassified Methanomicrobiales (no rank), Methanomicrobiales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38064 (no rank), 2191 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	2013817
A0A2I8VJ72	unreviewed	A0A2I8VJ72_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk C2R22_10220	Salinigranum rubrum	835	A0A2I8VJ72;		Salinigranum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1644057 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	755307
A0A2I8VM05	unreviewed	A0A2I8VM05_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk C2R22_16005	Salinigranum rubrum	777	A0A2I8VM05;		Salinigranum (genus), Halorubraceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1644057 (genus), 1963271 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	755307
A0A2P4NS35	unreviewed	A0A2P4NS35_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk AUR65_011405	Haloferax marisrubri	748	A0A2P4NS35;		Haloferax (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2251 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1544719
A0A2P4NVJ1	unreviewed	A0A2P4NVJ1_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk AUR65_001720	Haloferax marisrubri	841	A0A2P4NVJ1;		Haloferax (genus), Haloferacaceae (family), Haloferacales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	2251 (genus), 1644056 (family), 1644055 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1544719
A0A2P5K3C0	unreviewed	A0A2P5K3C0_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk C00003105_01775	ANME-2 cluster archaeon HR1	751			unclassified ANME-2 cluster (no rank), ANME-2 cluster (no rank), Methanosarcinales incertae sedis (no rank), Methanosarcinales (order), Methanomicrobia (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	1968519 (no rank), 588816 (no rank), 2927080 (no rank), 94695 (order), 224756 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1968520
A0A2R6CFP3	unreviewed	A0A2R6CFP3_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk BRC62_07180	Halobacteriales archaeon QH_10_67_13	730	A0A2R6CFP3;		unclassified Halobacteriales (no rank), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38063 (no rank), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1919148
A0A2R6DI16	unreviewed	A0A2R6DI16_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk BRC66_01090	Halobacteriales archaeon QH_2_66_30	767	A0A2R6DI16;		unclassified Halobacteriales (no rank), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38063 (no rank), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1919152
A0A2R6EYP9	unreviewed	A0A2R6EYP9_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk BRC73_02690	Halobacteriales archaeon QH_7_66_37	766	A0A2R6EYP9;		unclassified Halobacteriales (no rank), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38063 (no rank), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1919159
A0A2R6F3T1	unreviewed	A0A2R6F3T1_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk BRC76_04950	Halobacteriales archaeon QH_8_67_36	800	A0A2R6F3T1;		unclassified Halobacteriales (no rank), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38063 (no rank), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1919164
A0A2R6HKA7	unreviewed	A0A2R6HKA7_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk BRC87_00070	Halobacteriales archaeon QS_4_66_20	765	A0A2R6HKA7;		unclassified Halobacteriales (no rank), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38063 (no rank), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1919174
A0A2R6HMA1	unreviewed	A0A2R6HMA1_9EURY	Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	ppk1 ppk BRC91_11405	Halobacteriales archaeon QS_4_62_28	812	A0A2R6HMA1;		unclassified Halobacteriales (no rank), Halobacteriales (order), Halobacteria (class), Stenosarchaea group (no rank), Euryarchaeota (phylum), Archaea (superkingdom), cellular organisms (no rank)	38063 (no rank), 2235 (order), 183963 (class), 2290931 (no rank), 28890 (phylum), 2157 (superkingdom), 131567 (no rank)	1919173
