accession	alntmscore	Organism	Taxonomic.lineage
A0A142LNG9	0.9615	Betaproteobacteria bacterium UKL13-2	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2H0G340	0.9865	Hydrogenophilales bacterium CG18_big_fil_WC_8_21_14_2_50_58_12	unclassified Hydrogenophilales (no rank), Hydrogenophilales (order), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1J5BST3	0.9868	Betaproteobacteria bacterium CG2_30_59_46	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A259EP27	0.9885	Hydrogenophilales bacterium 17-64-11	unclassified Hydrogenophilales (no rank), Hydrogenophilales (order), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3E1DPI8	0.9748	Candidatus Nitrotoga sp. LAW	unclassified Candidatus Nitrotoga (no rank), Candidatus Nitrotoga (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3E1D6W5	0.9831	Candidatus Nitrotoga sp. SPKER	unclassified Candidatus Nitrotoga (no rank), Candidatus Nitrotoga (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3N5WBW5	0.9841	Betaproteobacteria bacterium	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7V8ZPR3	0.9619	Burkholderiales bacterium	unclassified Burkholderiales (no rank), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A4R1BH73	0.9866	Parasulfuritortus cantonensis	Parasulfuritortus (genus), Thiobacillaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1E4NCS2	0.9867	Thiobacillus sp. SCN 65-179	unclassified Thiobacillus (no rank), Thiobacillus (genus), Thiobacillaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6H9Y1I5	0.987	Betaproteobacteria bacterium SCN1	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2T5II10	0.9849	Nitrosospira multiformis	Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1F4E0B3	0.9856	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_62_58	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1H3E460	0.9708	Nitrosomonas halophila	Nitrosomonas (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1M3H6A1	0.9879	Thiobacillus sp. 65-1059	unclassified Thiobacillus (no rank), Thiobacillus (genus), Thiobacillaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1S1XBQ4	0.9788	Chromobacterium amazonense	Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1H3MRF3	0.9679	Nitrosomonas sp. Nm58	unclassified Nitrosomonas (no rank), Nitrosomonas (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1F4CGR4	0.9834	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_64_23	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1E4KDH5	0.9886	Thiobacillus sp. SCN 63-374	unclassified Thiobacillus (no rank), Thiobacillus (genus), Thiobacillaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7Y5DKM3	0.9852	Gallionella sp	unclassified Gallionella (no rank), Gallionella (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
Q2YC31	0.9862	Nitrosospira multiformis (strain ATCC 25196 / NCIMB 11849 / C 71)	Nitrosospira multiformis (species), Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2K4MR03	0.9774	Chromobacterium sinusclupearum	Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A238XQ01	0.9873	Methylobacillus rhizosphaerae	Methylobacillus (genus), Methylophilaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1G8D0M4	0.9695	Nitrosomonas sp. Nm132	unclassified Nitrosomonas (no rank), Nitrosomonas (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1H8DGS9	0.9847	Nitrosospira multiformis	Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1I0AGU8	0.9845	Nitrosospira multiformis	Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1S1X1J7	0.9811	Chromobacterium sphagni	Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1E4EX27	0.9856	Nitrosomonadales bacterium SCN 54-20	unclassified Nitrosomonadales (no rank), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0K6IVT1	0.9829	Tepidiphilus thermophilus	Tepidiphilus (genus), Hydrogenophilaceae (family), Hydrogenophilales (order), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1A9NLS1	0.9872	Methylobacillus sp. MM3	unclassified Methylobacillus (no rank), Methylobacillus (genus), Methylophilaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1I7FGN5	0.985	Nitrosospira multiformis	Nitrosospira (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A259FJW6	0.9857	Hydrogenophilales bacterium 17-64-34	unclassified Hydrogenophilales (no rank), Hydrogenophilales (order), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2S5DAG0	0.9737	Chromobacterium alticapitis	Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7Y4W701	0.9895	Sulfuriferula sp	unclassified Sulfuriferula (no rank), Sulfuriferula (genus), Sulfuricellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1Q4GTK0	0.9872	Thiobacillus sp. 65-29	unclassified Thiobacillus (no rank), Thiobacillus (genus), Thiobacillaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2R2IYG6	0.9814	Chromobacterium sp. F49	unclassified Chromobacterium (no rank), Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1F4DMX5	0.985	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_62_13	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2Z6GDF2	0.9843	Ferriphaselus amnicola	Ferriphaselus (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1I3JZ70	0.9662	Nitrosomonas sp. Nm34	unclassified Nitrosomonas (no rank), Nitrosomonas (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1H3FBH1	0.9705	Nitrosomonas sp. Nm33	unclassified Nitrosomonas (no rank), Nitrosomonas (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A177QZK5	0.9685	Betaproteobacteria bacterium SCGC AG-212-J23	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1F3ZWD4	0.9879	Betaproteobacteria bacterium RIFCSPLOWO2_02_64_14	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1F4EZ21	0.9842	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_65_14	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1F3ZJZ9	0.9823	Betaproteobacteria bacterium RIFCSPLOWO2_02_67_12	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0K6H301	0.9882	Gulbenkiania indica	Gulbenkiania (genus), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A521YJ87	0.9876	Betaproteobacteria bacterium	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2N2S9S0	0.9878	Betaproteobacteria bacterium HGW-Betaproteobacteria-2	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1F4FES0	0.9842	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_67_28	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1E4EX10	0.9852	Nitrosomonadales bacterium SCN 54-20	unclassified Nitrosomonadales (no rank), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A344UFQ4	0.9792	Chromobacterium phragmitis	Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2R5F837	0.9773	Novimethylophilus kurashikiensis	Novimethylophilus (genus), Methylophilaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1I4PTV6	0.9649	Nitrosomonas communis	Nitrosomonas (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A165F6E5	0.9848	Crenobacter luteus	Crenobacter (genus), Neisseriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1H2VZL2	0.9762	Nitrosomonas communis	Nitrosomonas (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A202BAR6	0.9777	Chromobacterium violaceum	Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A381EYC8	0.9794	Chromobacterium violaceum	Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
Q7NSR3	0.9774	Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757)	Chromobacterium violaceum (species), Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0F7KJF6	0.9747	Nitrosomonas communis	Nitrosomonas (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
C6X8E6	0.9883	Methylovorus glucosetrophus (strain SIP3-4)	Methylovorus glucosotrophus (species), Methylovorus (genus), Methylophilaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1D9LEZ1	0.9776	Chromobacterium vaccinii	Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0S8CSR8	0.974	Betaproteobacteria bacterium SG8_40	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1F4CX12	0.9709	Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_65_110	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5D3YHF5	0.965	Nitrosomonas communis	Nitrosomonas (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3N0UZ46	0.9819	Pseudomethylobacillus aquaticus	Pseudomethylobacillus (genus), Methylophilaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
B9Z6H0	0.9864	Pseudogulbenkiania ferrooxidans 2002	Pseudogulbenkiania ferrooxidans (species), Pseudogulbenkiania (genus), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A345Y2W0	0.9849	Crenobacter cavernae	Crenobacter (genus), Neisseriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A258TPT2	0.9857	Hydrogenophilales bacterium 28-61-23	unclassified Hydrogenophilales (no rank), Hydrogenophilales (order), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1F4AMH3	0.9724	Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_65_20	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7Z7WF96	0.9616	Chromobacterium vaccinii	Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A259DKP2	0.9892	Hydrogenophilales bacterium 17-62-8	unclassified Hydrogenophilales (no rank), Hydrogenophilales (order), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A4Q2JD98	0.985	Crenobacter cavernae	Crenobacter (genus), Neisseriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A809RKD1	0.9896	Sulfuriferula nivalis	Sulfuriferula (genus), Sulfuricellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A537DM33	0.9869	Betaproteobacteria bacterium	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2L2BFD0	0.9776	Chromobacterium vaccinii	Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A536W465	0.9734	Betaproteobacteria bacterium	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3D0LUJ4	0.9839	Betaproteobacteria bacterium	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A557SQD7	0.9795	Denitromonas halophilus	Denitromonas (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A4T0UTS9	0.9596	Crenobacter intestini	Crenobacter (genus), Neisseriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1Y0G919	0.9886	Sulfuriferula sp. AH1	unclassified Sulfuriferula (no rank), Sulfuriferula (genus), Sulfuricellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1N6GZP9	0.9743	Nitrosomonas cryotolerans ATCC 49181	Nitrosomonas cryotolerans (species), Nitrosomonas (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A537FWF0	0.9861	Betaproteobacteria bacterium	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
Q1H534	0.9866	Methylobacillus flagellatus (strain KT / ATCC 51484 / DSM 6875)	Methylobacillus flagellatus (species), Methylobacillus (genus), Methylophilaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A557QJL0	0.9806	Denitromonas halophilus	Denitromonas (genus), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1Y6BSX5	0.9863	Pseudogulbenkiania subflava DSM 22618	Pseudogulbenkiania subflava (species), Pseudogulbenkiania (genus), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
G2IYJ5	0.9863	Pseudogulbenkiania sp. (strain NH8B)	unclassified Pseudogulbenkiania (no rank), Pseudogulbenkiania (genus), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1Q7SMB6	0.9902	Betaproteobacteria bacterium 13_1_20CM_67_22	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3D3TZI6	0.9874	Rhodocyclaceae bacterium	unclassified Rhodocyclaceae (no rank), Rhodocyclaceae (family), Rhodocyclales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A522VDB5	0.9836	Betaproteobacteria bacterium	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1F4B1F4	0.9841	Betaproteobacteria bacterium RIFCSPLOWO2_02_FULL_66_14	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A6B2KUV0	0.9827	Crenobacter sedimenti	Crenobacter (genus), Neisseriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A5C1DK03	0.9788	Chromobacterium paludis	Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A537CJA6	0.9907	Betaproteobacteria bacterium	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1W0CAT6	0.9852	Chromobacterium haemolyticum	Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7S8ACT8	0.9849	Chromobacterium sp. Rain0013	unclassified Chromobacterium (no rank), Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2M7I6M0	0.9886	Hydrogenophilales bacterium CG12_big_fil_rev_8_21_14_0_65_61_21	unclassified Hydrogenophilales (no rank), Hydrogenophilales (order), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1J4YWM2	0.9886	Hydrogenophilaceae bacterium CG1_02_62_390	unclassified Hydrogenophilaceae (no rank), Hydrogenophilaceae (family), Hydrogenophilales (order), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2Z6DXZ8	0.9857	Hydrogenophilus thermoluteolus (Pseudomonas hydrogenothermophila)	Hydrogenophilus (genus), Hydrogenophilaceae (family), Hydrogenophilales (order), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2H5DT06	0.9758	Chromobacterium sp. (strain ATCC 53434 / SC 14030)	unclassified Chromobacterium (no rank), Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2N2Q403	0.9855	Betaproteobacteria bacterium HGW-Betaproteobacteria-8	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
Q82XF1	0.9698	Nitrosomonas europaea (strain ATCC 19718 / CIP 103999 / KCTC 2705 / NBRC 14298)	Nitrosomonas europaea (species), Nitrosomonas (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2T5P135	0.985	Chromobacterium haemolyticum	Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0J6KI05	0.9853	Chromobacterium sp. LK1	unclassified Chromobacterium (no rank), Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0J6NSA3	0.985	Chromobacterium sp. LK11	unclassified Chromobacterium (no rank), Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A318KUJ6	0.9832	Rivicola pingtungensis	Rivicola (genus), Neisseriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2N2VGS7	0.9885	Betaproteobacteria bacterium HGW-Betaproteobacteria-1	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1F3YBT5	0.9909	Betaproteobacteria bacterium RBG_16_66_20	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A536XW70	0.9721	Betaproteobacteria bacterium	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A537AYT0	0.973	Betaproteobacteria bacterium	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A537C1H4	0.9729	Betaproteobacteria bacterium	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A7S6LY28	0.9694	Nitrosomonas sp. H1_AOB3	unclassified Nitrosomonas (no rank), Nitrosomonas (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2T5NFN4	0.9851	Chromobacterium sp. Panama	unclassified Chromobacterium (no rank), Chromobacterium (genus), Chromobacterium group (no rank), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A1U9JRS7	0.9857	Aquaspirillum sp. LM1	unclassified Aquaspirillum (no rank), Aquaspirillum (genus), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A3S0JH93	0.9884	Neisseriaceae bacterium	unclassified Neisseriaceae (no rank), Neisseriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A840RHA9	0.9846	Silvimonas terrae	Silvimonas (genus), Chromobacteriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A2M7MRA2	0.9853	Hydrogenophilales bacterium CG_4_10_14_3_um_filter_63_21	unclassified Hydrogenophilales (no rank), Hydrogenophilales (order), Hydrogenophilia (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
A0A0N0XGU8	0.9866	Amantichitinum ursilacus	Amantichitinum (genus), Neisseriaceae (family), Neisseriales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)
