accession	seqid	alntmscore	Taxonomic.lineage	Organism	Phylum	LeidenCluster	tSNE1	tSNE2	info
V6APH5	0.516	0.9568	Pseudomonas aeruginosa (species), Pseudomonas aeruginosa group (no rank), Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonas aeruginosa MH27	Pseudomonadota	NA	NA	NA	NA
A0A0H2ZJ53	0.516	0.9572	Pseudomonas aeruginosa (species), Pseudomonas aeruginosa group (no rank), Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonas aeruginosa (strain UCBPP-PA14)	Pseudomonadota	NA	NA	NA	NA
A0A1C7BD93	0.516	0.9567	Pseudomonas aeruginosa (species), Pseudomonas aeruginosa group (no rank), Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonas aeruginosa BL04	Pseudomonadota	NA	NA	NA	NA
A0A6A9K690	0.516	0.9567	Pseudomonas aeruginosa group (no rank), Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonas aeruginosa	Pseudomonadota	NA	NA	NA	NA
A0A368ZKR3	0.521	0.9584	Marinomonas (genus), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinomonas foliarum	Pseudomonadota	NA	NA	NA	NA
A0A501W8I3	0.518	0.9593	Maribrevibacterium (genus), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Maribrevibacterium harenarium	Pseudomonadota	NA	NA	NA	NA
A0A7Y6Z1G7	0.526	0.96	unclassified Oceanospirillaceae (no rank), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Oceanospirillaceae bacterium	Pseudomonadota	NA	NA	NA	NA
A0A7Z2ZEA5	0.52	0.9575	unclassified Pseudomonas (no rank), Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonas sp. gcc21	Pseudomonadota	NA	NA	NA	NA
A0A4R6M977	0.521	0.958	Marinomonas (genus), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinomonas balearica	Pseudomonadota	NA	NA	NA	NA
A0A6G8YH39	0.523	0.9757	Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas rhizophila	Pseudomonadota	NA	NA	NA	NA
A0A3N1KFH1	0.522	0.9636	Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas rhizophila	Pseudomonadota	NA	NA	NA	NA
A0A1S8CVA4	0.524	0.9703	Alkanindiges (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alkanindiges hydrocarboniclasticus	Pseudomonadota	NA	NA	NA	NA
A0A246HHM6	0.522	0.964	Stenotrophomonas maltophilia group (no rank), Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	Pseudomonadota	NA	NA	NA	NA
A0A7Y9NI58	0.522	0.9637	unclassified Stenotrophomonas (no rank), Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas sp. JAI102	Pseudomonadota	NA	NA	NA	NA
A0A349Y8E9	0.522	0.9642	unclassified Stenotrophomonas (no rank), Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas sp	Pseudomonadota	NA	NA	NA	NA
A0A7Y8GS65	0.522	0.9612	unclassified Stenotrophomonas (no rank), Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas sp. SAM-B	Pseudomonadota	NA	NA	NA	NA
A0A4S2CZY2	0.523	0.9636	Stenotrophomonas maltophilia group (no rank), Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	Pseudomonadota	NA	NA	NA	NA
A0A520RLQ5	0.531	0.944	OM182 clade (no rank), OMG group (no rank), Gammaproteobacteria incertae sedis (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	OM182 bacterium	Pseudomonadota	NA	NA	NA	NA
A0A2R3PXH3	0.522	0.9608	Stenotrophomonas maltophilia group (no rank), Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	Pseudomonadota	NA	NA	NA	NA
A0A246IBT7	0.522	0.9599	Stenotrophomonas maltophilia group (no rank), Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	Pseudomonadota	NA	NA	NA	NA
A0A0G9HCF0	0.518	0.9703	Luteibacter rhizovicinus (species), Luteibacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Luteibacter rhizovicinus DSM 16549	Pseudomonadota	NA	NA	NA	NA
V2TJB3	0.524	0.9576	Acinetobacter nectaris (species), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter nectaris CIP 110549	Pseudomonadota	NA	NA	NA	NA
A0A1A9MCZ1	0.527	0.9602	Xanthomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonas floridensis	Pseudomonadota	NA	NA	NA	NA
A0A5P3KJD0	0.528	0.959	Xanthomonas arboricola (species), Xanthomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonas arboricola pv. pruni	Pseudomonadota	NA	NA	NA	NA
A0A2S7DPB0	0.527	0.9576	Xanthomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonas cucurbitae	Pseudomonadota	NA	NA	NA	NA
W4RYC1	0.528	0.9606	Xanthomonas arboricola pv. pruni (no rank), Xanthomonas arboricola (species), Xanthomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonas arboricola pv. pruni str. MAFF 311562	Pseudomonadota	NA	NA	NA	NA
W4SCT0	0.528	0.9584	Xanthomonas arboricola pv. pruni (no rank), Xanthomonas arboricola (species), Xanthomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonas arboricola pv. pruni MAFF 301420	Pseudomonadota	NA	NA	NA	NA
A0A3G2T493	0.524	0.9579	Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter wuhouensis	Pseudomonadota	NA	NA	NA	NA
A0A4R0DLD2	0.517	0.9557	unclassified Acinetobacter (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter sp. ANC 4635	Pseudomonadota	NA	NA	NA	NA
A0A5P9EQ70	0.532	0.9526	unclassified Marinobacter (no rank), Marinobacter (genus), Marinobacteraceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinobacter sp. THAF39	Pseudomonadota	NA	NA	NA	NA
A0A1M2UUL5	0.532	0.9513	Marinobacter (genus), Marinobacteraceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinobacter nauticus (Marinobacter hydrocarbonoclasticus) (Marinobacter aquaeolei)	Pseudomonadota	NA	NA	NA	NA
A0A455WHP9	0.532	0.9534	Marinobacter (genus), Marinobacteraceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinobacter nauticus (Marinobacter hydrocarbonoclasticus) (Marinobacter aquaeolei)	Pseudomonadota	NA	NA	NA	NA
A0A537ALF4	0.542	0.9438	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria bacterium	Pseudomonadota	LC32	90.75525	-11.364754	LC32_cluster
A0A1E2VEN1	0.533	0.9606	Terasakiispira (genus), Oceanospirillales incertae sedis (no rank), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Terasakiispira papahanaumokuakeensis	Pseudomonadota	NA	NA	NA	NA
A0A1G7ZD10	0.519	0.9564	Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonas benzenivorans	Pseudomonadota	NA	NA	NA	NA
A0A485GDI2	0.516	0.9567	Pseudomonas aeruginosa group (no rank), Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonas aeruginosa	Pseudomonadota	NA	NA	NA	NA
A0A7Y7E3N3	0.52	0.9606	unclassified Oceanospirillaceae (no rank), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Oceanospirillaceae bacterium	Pseudomonadota	NA	NA	NA	NA
A3YAZ3	0.525	0.9663	unclassified Marinomonas (no rank), Marinomonas (genus), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinomonas sp. MED121	Pseudomonadota	NA	NA	NA	NA
A0A318D792	0.524	0.9815	Kangiella (genus), Kangiellaceae (family), Kangiellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Kangiella spongicola	Pseudomonadota	NA	NA	NA	NA
A0A4R4EZC6	0.524	0.9731	unclassified Lysobacter (no rank), Lysobacter (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Lysobacter sp. N42	Pseudomonadota	NA	NA	NA	NA
A0A345ZKS6	0.524	0.9724	unclassified Lysobacter (no rank), Lysobacter (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Lysobacter sp. TY2-98	Pseudomonadota	NA	NA	NA	NA
A0A4R3YQC7	0.521	0.9815	Luteibacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Luteibacter rhizovicinus	Pseudomonadota	NA	NA	NA	NA
N9Q6H1	0.524	0.9734	unclassified Acinetobacter (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter sp. NIPH 2100	Pseudomonadota	NA	NA	NA	NA
A0A0Q4QUY2	0.527	0.9644	unclassified Stenotrophomonas (no rank), Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas sp. Leaf70	Pseudomonadota	NA	NA	NA	NA
A0A2D4S5E8	0.531	0.9738	unclassified Bermanella (no rank), Bermanella (genus), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Bermanella sp	Pseudomonadota	NA	NA	NA	NA
A0A353U4Q1	0.526	0.9601	unclassified Stenotrophomonas (no rank), Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas sp	Pseudomonadota	NA	NA	NA	NA
A0A1R4H6C7	0.508	0.9676	Crenothrix (genus), Crenotrichaceae (family), Methylococcales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Crenothrix polyspora	Pseudomonadota	NA	NA	NA	NA
A0A4Q6GXR3	0.521	0.9639	unclassified Xanthomonadaceae (no rank), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonadaceae bacterium	Pseudomonadota	NA	NA	NA	NA
A0A2S6ZI16	0.527	0.9613	Xanthomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonas theicola	Pseudomonadota	NA	NA	NA	NA
A0A7W9E9R0	0.528	0.959	Xanthomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonas arboricola	Pseudomonadota	NA	NA	NA	NA
A0A0E3YU88	0.528	0.9556	Xanthomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonas arboricola	Pseudomonadota	NA	NA	NA	NA
A0A0A6TKJ2	0.525	0.957	Xanthomonas phaseoli (species), Xanthomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonas campestris pv. phaseoli	Pseudomonadota	NA	NA	NA	NA
A0A0Q0MCS3	0.525	0.9552	Xanthomonas phaseoli (species), Xanthomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonas phaseoli pv. dieffenbachiae	Pseudomonadota	NA	NA	NA	NA
A0A2S7BAQ7	0.528	0.9585	Xanthomonas arboricola (species), Xanthomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonas arboricola pv. populi	Pseudomonadota	NA	NA	NA	NA
A0A370KDA5	0.518	0.9723	Dyella (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Dyella solisilvae	Pseudomonadota	NA	NA	NA	NA
A0A7Z2ZIV2	0.525	0.9592	Xanthomonas campestris (species), Xanthomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonas campestris pv. badrii	Pseudomonadota	NA	NA	NA	NA
A0A098Q112	0.525	0.9591	Xanthomonas axonopodis subcluster 9.3 (no rank), Xanthomonas axonopodis (species), Xanthomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonas axonopodis pv. vasculorum	Pseudomonadota	NA	NA	NA	NA
A0A3N2QV24	0.517	0.9592	unclassified Marinobacter (no rank), Marinobacter (genus), Marinobacteraceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinobacter sp. R17	Pseudomonadota	NA	NA	NA	NA
N8V8M1	0.517	0.9555	unclassified Acinetobacter (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter sp. ANC 3789	Pseudomonadota	NA	NA	NA	NA
A0A4R0D0J6	0.514	0.9557	unclassified Acinetobacter (no rank), Acinetobacter (genus), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Acinetobacter sp. ANC 4641	Pseudomonadota	NA	NA	NA	NA
A0A7S6N7V2	0.523	0.9328	unclassified Gammaproteobacteria (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria bacterium	Pseudomonadota	NA	NA	NA	NA
A0A7C1ZSC3	0.534	0.9525	unclassified Methylophaga (no rank), Methylophaga (genus), Piscirickettsiaceae (family), Thiotrichales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Methylophaga sp	Pseudomonadota	NA	NA	NA	NA
A0A2T1K514	0.526	0.9522	Marinobacter (genus), Marinobacteraceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinobacter fuscus	Pseudomonadota	NA	NA	NA	NA
A0A0P7XH51	0.521	0.9461	unclassified Marinobacter (no rank), Marinobacter (genus), Marinobacteraceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinobacter sp. HL-58	Pseudomonadota	NA	NA	NA	NA
A0A2V3ZT11	0.521	0.9472	Marinobacter (genus), Marinobacteraceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinobacter vulgaris	Pseudomonadota	NA	NA	NA	NA
A3J8M0	0.505	0.9495	unclassified Marinobacter (no rank), Marinobacter (genus), Marinobacteraceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinobacter sp. ELB17	Pseudomonadota	NA	NA	NA	NA
A0A2T1KX11	0.53	0.9545	Marinobacter (genus), Marinobacteraceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinobacter shengliensis	Pseudomonadota	NA	NA	NA	NA
A0A137SIJ8	0.53	0.9531	Marinobacter excellens (species), Marinobacter (genus), Marinobacteraceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinobacter excellens LAMA 842	Pseudomonadota	NA	NA	NA	NA
A0A142FSL3	0.53	0.9505	unclassified Marinobacter (no rank), Marinobacter (genus), Marinobacteraceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinobacter sp. LQ44	Pseudomonadota	NA	NA	NA	NA
A0A357IFX2	0.51	0.9602	unclassified Gammaproteobacteria (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria bacterium	Pseudomonadota	NA	NA	NA	NA
A0A2Z4PZ15	0.52	0.9686	Marinomonas (genus), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinomonas primoryensis	Pseudomonadota	NA	NA	NA	NA
A0A839IU93	0.531	0.9589	unclassified Oceanospirillum (no rank), Oceanospirillum (genus), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Oceanospirillum sp. D5	Pseudomonadota	NA	NA	NA	NA
A0A0T6UUF9	0.518	0.9542	unclassified Pseudomonas (no rank), Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonas sp. TTU2014-080ASC	Pseudomonadota	NA	NA	NA	NA
A0A024HB21	0.518	0.9568	Pseudomonas knackmussii (species), Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonas knackmussii (strain DSM 6978 / LMG 23759 / B13)	Pseudomonadota	NA	NA	NA	NA
A0A7W7KH44	0.527	0.9605	Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonas nitritireducens	Pseudomonadota	NA	NA	NA	NA
A0A1T4S292	0.533	0.9573	Oceanospirillum (genus), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Oceanospirillum multiglobuliferum	Pseudomonadota	NA	NA	NA	NA
V7ZGK3	0.524	0.9484	Xanthomonas hortorum pv. carotae (no rank), Xanthomonas hortorum (species), Xanthomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonas hortorum pv. carotae str. M081	Pseudomonadota	NA	NA	NA	NA
A0A1V0B3C5	0.53	0.96	Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonas phragmitis	Pseudomonadota	NA	NA	NA	NA
A0A396RYM4	0.53	0.96	Pseudomonas (genus), Pseudomonadaceae (family), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonas jilinensis	Pseudomonadota	NA	NA	NA	NA
A0A859CSH0	0.52	0.9586	Marinomonas (genus), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Marinomonas primoryensis	Pseudomonadota	NA	NA	NA	NA
A0A4V1ZQ96	0.522	0.9783	unclassified Gammaproteobacteria (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria bacterium	Pseudomonadota	NA	NA	NA	NA
A0A2G2M5P4	0.523	0.9729	unclassified Methylophaga (no rank), Methylophaga (genus), Piscirickettsiaceae (family), Thiotrichales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Methylophaga sp	Pseudomonadota	NA	NA	NA	NA
A0A4Q5VLS9	0.526	0.9699	unclassified Moraxellaceae (no rank), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Moraxellaceae bacterium	Pseudomonadota	NA	NA	NA	NA
A0A4Z0DMG6	0.52	0.9601	Stenotrophomonas maltophilia group (no rank), Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	Pseudomonadota	NA	NA	NA	NA
A0A6B8JC79	0.522	0.9616	Stenotrophomonas maltophilia group (no rank), Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas maltophilia (Pseudomonas maltophilia) (Xanthomonas maltophilia)	Pseudomonadota	NA	NA	NA	NA
A0A363RZR2	0.526	0.9602	unclassified Stenotrophomonas (no rank), Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas sp. SPM	Pseudomonadota	NA	NA	NA	NA
A0A3Q8FLI2	0.528	0.9608	unclassified Stenotrophomonas maltophilia group (no rank), Stenotrophomonas maltophilia group (no rank), Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas sp. ZAC14D1_NAIMI4_6	Pseudomonadota	NA	NA	NA	NA
B4SLL7	0.52	0.9603	Stenotrophomonas maltophilia (species), Stenotrophomonas maltophilia group (no rank), Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas maltophilia (strain R551-3)	Pseudomonadota	NA	NA	NA	NA
A0A6N8AXK0	0.526	0.9613	unclassified Stenotrophomonas (no rank), Stenotrophomonas (genus), Xanthomonadaceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Stenotrophomonas sp	Pseudomonadota	NA	NA	NA	NA
A0A7X6WPQ3	0.534	0.9626	unclassified Oxalobacter (no rank), Oxalobacter (genus), Oxalobacteraceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Oxalobacter sp	Pseudomonadota	NA	NA	NA	NA
