StruCluster	accession	tSNE1	tSNE2	Taxonomic.lineage	Organism	Phylum	seqid	alntmscore
SC13	A0A1R1AER6	79.06146	37.51258	unclassified Paenibacillus (no rank), Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus sp. FSL A5-0031	Bacillota	0.43	0.9656
SC13	A0A1R1BWE2	78.92971	36.929012	unclassified Paenibacillus (no rank), Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus sp. FSL H7-0331	Bacillota	0.428	0.9416
SC13	A0A1R1DA91	78.16139	39.19161	unclassified Paenibacillus (no rank), Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus sp. FSL H8-0548	Bacillota	0.434	0.9632
SC13	A0A1R3VN18	100.949486	13.862166	Ectothiorhodosinus (genus), Ectothiorhodospiraceae (family), Chromatiales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Ectothiorhodosinus mongolicus	Pseudomonadota	0.573	0.986
SC13	A0A1R4HR91	73.57132	48.357258	unclassified Halomonas (no rank), Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Halomonas sp. JB380	Pseudomonadota	0.525	0.9586
SC13	A0A1S9D011	91.12534	24.540215	unclassified Chromatiales (no rank), Chromatiales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Chromatiales bacterium USCg_Taylor	Pseudomonadota	0.558	0.9402
SC13	A0A1T1H8U1	97.199715	47.598164	Oceanospirillum (genus), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Oceanospirillum linum	Pseudomonadota	0.516	0.9578
SC13	A0A1T4S292	105.66031	47.475994	Oceanospirillum (genus), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Oceanospirillum multiglobuliferum	Pseudomonadota	0.533	0.9573
SC13	A0A1T5EEL2	104.708694	50.263897	unclassified Luteibacter (no rank), Luteibacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Luteibacter sp. 22Crub2.1	Pseudomonadota	0.489	0.9527
SC13	A0A1T5GCI4	98.016014	17.573395	unclassified Luteibacter (no rank), Luteibacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Luteibacter sp. 22Crub2.1	Pseudomonadota	0.535	0.9793
SC13	A0A1U9RHN6	73.34271	46.94245	unclassified Halomonas (no rank), Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Halomonas sp. 'Soap Lake #7'	Pseudomonadota	0.537	0.9585
SC13	A0A1V3BUD3	90.26902	17.050512	Thioalkalivibrio (genus), Ectothiorhodospiraceae (family), Chromatiales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thioalkalivibrio versutus	Pseudomonadota	0.542	0.9849
SC13	A0A1V3NPJ8	94.92492	15.464564	Thioalkalivibrio (genus), Ectothiorhodospiraceae (family), Chromatiales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thioalkalivibrio denitrificans	Pseudomonadota	0.566	0.9814
SC13	A0A1V3NZ39	98.43898	52.612644	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. C05	Pseudomonadota	0.516	0.954
SC13	A0A1V3P1C9	95.54596	22.43411	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. C05	Pseudomonadota	0.515	0.9714
SC13	A0A1V3PCI2	100.18782	15.534941	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. C06	Pseudomonadota	0.524	0.9741
SC13	A0A1V3PE12	98.67155	52.517853	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. C01	Pseudomonadota	0.504	0.9544
SC13	A0A1V3PWS2	93.42647	24.24637	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. B05	Pseudomonadota	0.504	0.9722
SC13	A0A1V3Q4G7	96.58371	21.28566	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. B05	Pseudomonadota	0.497	0.9626
SC13	A0A1V3Q6Z3	100.14071	8.570797	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. C03	Pseudomonadota	0.519	0.973
SC13	A0A1V3Q7C7	97.46323	53.02729	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. C03	Pseudomonadota	0.521	0.9531
SC13	A0A1V3QAG5	93.32261	23.56518	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. B04	Pseudomonadota	0.527	0.9727
SC13	A0A1V3QAN6	96.89889	53.285095	unclassified Rhodanobacter (no rank), Rhodanobacter (genus), Rhodanobacteraceae (family), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rhodanobacter sp. B04	Pseudomonadota	0.525	0.959
SC13	A0A1V4H761	78.23795	42.038788	Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus ferrarius	Bacillota	0.435	0.948
SC13	A0A1V5GQV1	97.55355	15.961913	unclassified Candidatus Sumerlaeota (no rank), Candidatus Sumerlaeota (phylum), Bacteria candidate phyla (no rank), Bacteria incertae sedis (no rank), Bacteria (superkingdom), cellular organisms (no rank)	candidate division BRC1 bacterium ADurb.BinA364	Other	0.583	0.9832
SC13	A0A1W1VPK2	41.050255	25.118729	Hymenobacter roseosalivarius (species), Hymenobacter (genus), Hymenobacteraceae (family), Cytophagales (order), Cytophagia (class), Bacteroidota (phylum), Bacteroidetes/Chlorobi group (no rank), FCB group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Hymenobacter roseosalivarius DSM 11622	Bacteroidota	0.356	0.8638
SC13	A0A1W6MWL5	63.287834	34.034805	Methylocystis (genus), Methylocystaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Methylocystis bryophila	Pseudomonadota	0.411	0.9272
SC13	A0A1W9H7B7	88.672844	26.31097	unclassified Pseudomonadota (no rank), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Proteobacteria bacterium SG_bin4	Other	0.573	0.9508
SC13	A0A1W9KFN0	86.3492	31.421122	unclassified Pseudomonadota (no rank), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Proteobacteria bacterium ST_bin16	Other	0.566	0.9824
SC13	A0A1W9L208	48.640804	30.593416	unclassified Beggiatoa (no rank), Beggiatoa (genus), Thiotrichaceae (family), Thiotrichales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Beggiatoa sp. IS2	Pseudomonadota	0.572	0.9771
SC13	A0A1Y4B4T8	85.41063	40.98599	unclassified Eubacterium (no rank), Eubacterium (genus), Eubacteriaceae (family), Eubacteriales (order), Clostridia (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Eubacterium sp. An3	Bacillota	0.409	0.962
SC13	A0A1Y4IMU8	84.52264	40.334274	unclassified Lachnoclostridium (no rank), Lachnoclostridium (genus), Lachnospiraceae (family), Eubacteriales (order), Clostridia (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Lachnoclostridium sp. An196	Bacillota	0.426	0.9586
SC13	A0A1Y4JAT9	80.40967	43.480812	unclassified Faecalibacterium (no rank), Faecalibacterium (genus), Oscillospiraceae (family), Eubacteriales (order), Clostridia (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Faecalibacterium sp. An192	Bacillota	0.34	0.9158
SC13	A0A1Y4TD23	80.43743	43.50511	unclassified Faecalibacterium (no rank), Faecalibacterium (genus), Oscillospiraceae (family), Eubacteriales (order), Clostridia (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Faecalibacterium sp. An122	Bacillota	0.34	0.9208
SC13	A0A1Y4TDC8	74.99148	39.81988	unclassified Faecalibacterium (no rank), Faecalibacterium (genus), Oscillospiraceae (family), Eubacteriales (order), Clostridia (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Faecalibacterium sp. An121	Bacillota	0.34	0.8948
SC13	A0A1Y4VJD2	84.54929	38.917114	unclassified Eubacterium (no rank), Eubacterium (genus), Eubacteriaceae (family), Eubacteriales (order), Clostridia (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Eubacterium sp. An11	Bacillota	0.409	0.9687
SC13	A0A1Y5GY61	88.72477	12.174866	unclassified Gammaproteobacteria (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria bacterium 45_16_T64	Pseudomonadota	0.531	0.9813
SC13	A0A1Y5KI31	79.037445	41.078526	unclassified Paenibacillus (no rank), Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus sp. MY03	Bacillota	0.437	0.9571
SC13	A0A1Y6BQE2	43.33712	31.640032	unclassified Alteromonadaceae (no rank), Alteromonadaceae (family), Alteromonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alteromonadaceae bacterium Bs31	Pseudomonadota	0.527	0.9557
SC13	A0A1Z4VTG1	85.27223	35.013184	Thiohalobacter (genus), Chromatiales incertae sedis (no rank), Chromatiales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thiohalobacter thiocyanaticus	Pseudomonadota	0.588	0.9814
SC13	A0A1Z7YLN6	88.496826	12.207856	unclassified Gammaproteobacteria (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria bacterium 42_54_T18	Pseudomonadota	0.52	0.9709
SC13	A0A220RHD0	72.33278	50.66475	unclassified Halomonas (no rank), Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Halomonas sp. N3-2A	Pseudomonadota	0.538	0.955
SC13	A0A222WJ86	79.29914	39.530144	Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus kribbensis	Bacillota	0.434	0.9597
SC13	A0A229P067	78.102356	42.940426	Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus herberti	Bacillota	0.441	0.9644
SC13	A0A229ULI3	77.845215	41.281624	Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus rigui	Bacillota	0.431	0.939
SC13	A0A246S488	71.69466	50.83225	Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Halomonas campaniensis	Pseudomonadota	0.529	0.9546
SC13	A0A257M4N8	85.760475	32.384594	unclassified Verrucomicrobiales (no rank), Verrucomicrobiales (order), Verrucomicrobiae (class), Verrucomicrobia (phylum), PVC group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Verrucomicrobiales bacterium VVV1	Verrucomicrobia	0.363	0.9519
SC13	A0A258DDA6	57.28438	12.2057	unclassified Thiotrichales (no rank), Thiotrichales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Thiotrichales bacterium 32-46-8	Pseudomonadota	0.55	0.9566
SC13	A0A258QF50	66.100266	0.80300784	unclassified Polaromonas (no rank), Polaromonas (genus), Comamonadaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Polaromonas sp. 35-63-240	Pseudomonadota	0.513	0.9711
SC13	A0A259QRS8	96.27353	53.799156	unclassified Xanthomonadales (no rank), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonadales bacterium 14-68-21	Pseudomonadota	0.509	0.9555
SC13	A0A259QZW4	90.520805	25.620594	unclassified Xanthomonadales (no rank), Xanthomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Xanthomonadales bacterium 14-68-21	Pseudomonadota	0.518	0.9689
SC13	A0A261GTX9	99.996185	50.503372	unclassified Hahella (no rank), Hahella (genus), Hahellaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Hahella sp. CCB-MM4	Pseudomonadota	0.539	0.9559
SC13	A0A265E0G4	74.56737	50.671734	Halomonas boliviensis (species), Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Halomonas boliviensis LC1	Pseudomonadota	0.524	0.9546
SC13	A0A285BU15	85.25399	34.846268	Nitrosomonas (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Nitrosomonas ureae	Pseudomonadota	0.567	0.9811
SC13	A0A286AFG8	86.643974	30.79154	Nitrosomonas (genus), Nitrosomonadaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Nitrosomonas ureae	Pseudomonadota	0.569	0.9534
SC13	A0A2A3XD67	73.49218	50.855686	unclassified Halomonas (no rank), Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Halomonas sp. JB37	Pseudomonadota	0.535	0.9542
SC13	A0A2A4UJA5	92.450386	22.673155	unclassified Pseudomonadota (no rank), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonadota bacterium	Other	0.542	0.9746
SC13	A0A2A4X633	88.85934	44.6842	SAR86 cluster (no rank), Gammaproteobacteria incertae sedis (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	SAR86 cluster bacterium	Pseudomonadota	0.53	0.9499
SC13	A0A2A5CBG7	91.0154	23.968243	SAR86 cluster (no rank), Gammaproteobacteria incertae sedis (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	SAR86 cluster bacterium	Pseudomonadota	0.555	0.9728
SC13	A0A2A5CNW6	88.1783	12.241835	unclassified Moraxellaceae (no rank), Moraxellaceae (family), Moraxellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Moraxellaceae bacterium	Pseudomonadota	0.512	0.9728
SC13	A0A2A5DET8	88.39062	26.859314	unclassified Planctomycetota (no rank), Planctomycetota (phylum), PVC group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Planctomycetota bacterium	Other	0.545	0.9717
SC13	A0A2A7AKV6	40.71368	19.748346	Faecalibacterium (genus), Oscillospiraceae (family), Eubacteriales (order), Clostridia (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Faecalibacterium prausnitzii	Bacillota	0.317	0.8874
SC13	A0A2A9KL97	44.374992	3.8734963	unclassified Collimonas (no rank), Collimonas (genus), Oxalobacteraceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Collimonas sp. PA-H2	Pseudomonadota	0.554	0.9624
SC13	A0A2D4VMA6	63.61779	35.933296	unclassified Parvibaculum (no rank), Parvibaculum (genus), Parvibaculaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Parvibaculum sp	Pseudomonadota	0.412	0.9323
SC13	A0A2D5GF31	105.06899	45.127506	unclassified Oceanospirillum (no rank), Oceanospirillum (genus), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Oceanospirillum sp	Pseudomonadota	0.54	0.9595
SC13	A0A2D8BQI1	62.86935	36.58135	unclassified Maricaulis (no rank), Maricaulis (genus), Maricaulaceae (family), Maricaulales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Maricaulis sp	Pseudomonadota	0.404	0.9224
SC13	A0A2E0WNL6	85.41884	34.13511	unclassified Gammaproteobacteria (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria bacterium	Pseudomonadota	0.592	0.9812
SC13	A0A2E0YAU4	88.516045	25.997427	unclassified Gammaproteobacteria (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria bacterium	Pseudomonadota	0.542	0.9467
SC13	A0A2E1KW36	88.446815	10.775772	unclassified Puniceicoccaceae (no rank), Puniceicoccaceae (family), Puniceicoccales (order), Opitutae (class), Verrucomicrobia (phylum), PVC group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Puniceicoccaceae bacterium	Verrucomicrobia	0.468	0.9431
SC13	A0A2E1VPM3	89.84679	26.208757	unclassified Planctomycetota (no rank), Planctomycetota (phylum), PVC group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Planctomycetota bacterium	Other	0.543	0.9555
SC13	A0A2E2HEC2	91.39646	22.285372	unclassified Gammaproteobacteria (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria bacterium	Pseudomonadota	0.569	0.967
SC13	A0A2E2IAM7	94.50269	55.15194	unclassified Oceanospirillaceae (no rank), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Oceanospirillaceae bacterium	Pseudomonadota	0.529	0.9691
SC13	A0A2E2NUP0	100.9508	1.1299719	unclassified Deltaproteobacteria (no rank), Deltaproteobacteria (class), delta/epsilon subdivisions (subphylum), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Deltaproteobacteria bacterium	delta/epsilon subdivisions (subphylum), Pseudomonadota	0.528	0.9655
SC13	A0A2E3CV04	85.90975	15.260012	unclassified Pseudomonadales (no rank), Pseudomonadales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonadales bacterium	Pseudomonadota	0.53	0.9513
SC13	A0A2E3MIA3	95.48786	15.709287	unclassified Legionellales (no rank), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionellales bacterium	Pseudomonadota	0.518	0.979
SC13	A0A2E5M4N8	90.19101	44.105328	unclassified Gammaproteobacteria (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria bacterium	Pseudomonadota	0.545	0.977
SC13	A0A2E6LSW1	88.76141	26.044128	unclassified Gammaproteobacteria (no rank), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria bacterium	Pseudomonadota	0.544	0.9469
SC13	A0A2E7CQ32	87.42204	41.469868	unclassified Pseudomonadota (no rank), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Pseudomonadota bacterium	Other	0.479	0.9809
SC13	A0A2E7D4Y5	90.31095	44.89391	unclassified Planctomycetaceae (no rank), Planctomycetaceae (family), Planctomycetales (order), Planctomycetia (class), Planctomycetota (phylum), PVC group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Planctomycetaceae bacterium	Planctomycetota	0.409	0.9547
SC13	A0A2E7UML9	89.6641	25.278198	unclassified Deltaproteobacteria (no rank), Deltaproteobacteria (class), delta/epsilon subdivisions (subphylum), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Deltaproteobacteria bacterium	delta/epsilon subdivisions (subphylum), Pseudomonadota	0.542	0.9297
SC13	A0A2E7ZPP8	87.098404	8.803909	unclassified Myxococcales (no rank), Myxococcales (order), Deltaproteobacteria (class), delta/epsilon subdivisions (subphylum), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Myxococcales bacterium	delta/epsilon subdivisions (subphylum), Pseudomonadota	0.544	0.9823
SC13	A0A2E8G7J2	-42.09435	-58.296974	unclassified Alcanivorax (no rank), Alcanivorax (genus), Alcanivoracaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alcanivorax sp	Pseudomonadota	0.55	0.9586
SC13	A0A2E9AF95	94.4955	54.92349	unclassified Salinisphaera (no rank), Salinisphaera (genus), Salinisphaeraceae (family), Salinisphaerales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Salinisphaera sp	Pseudomonadota	0.554	0.9611
SC13	A0A2E9DID1	89.1301	43.707077	unclassified Oceanospirillaceae (no rank), Oceanospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Oceanospirillaceae bacterium	Pseudomonadota	0.527	0.9571
SC13	A0A2E9ITM6	88.72538	16.765028	unclassified Puniceicoccaceae (no rank), Puniceicoccaceae (family), Puniceicoccales (order), Opitutae (class), Verrucomicrobia (phylum), PVC group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Puniceicoccaceae bacterium	Verrucomicrobia	0.468	0.916
SC13	A0A2E9XXX0	-87.90499	11.956644	unclassified Rickettsiales (no rank), Rickettsiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Rickettsiales bacterium	Pseudomonadota	0.516	0.9812
SC13	A0A2G2M2J0	63.204037	36.089783	unclassified Robiginitomaculum (no rank), Robiginitomaculum (genus), Robiginitomaculaceae (family), Maricaulales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Robiginitomaculum sp	Pseudomonadota	0.396	0.9268
SC13	A0A2G3E4U2	83.38453	37.291943	Agathobacter (genus), Lachnospiraceae (family), Eubacteriales (order), Clostridia (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Agathobacter ruminis	Bacillota	0.431	0.9627
SC13	A0A2G4KFH2	57.787216	36.29987	unclassified Caulobacter (no rank), Caulobacter (genus), Caulobacteraceae (family), Caulobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Caulobacter sp. BP25	Pseudomonadota	0.397	0.9253
SC13	A0A2G5RCJ1	57.687077	36.19681	unclassified Caulobacter (no rank), Caulobacter (genus), Caulobacteraceae (family), Caulobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Caulobacter sp. X	Pseudomonadota	0.396	0.9244
SC13	A0A2G6JGH0	96.34201	8.674888	unclassified Planctomycetota (no rank), Planctomycetota (phylum), PVC group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Planctomycetota bacterium	Other	0.545	0.953
SC13	A0A2H5FJM9	98.645035	9.705168	Legionella (genus), Legionellaceae (family), Legionellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Legionella sainthelensi	Pseudomonadota	0.487	0.9669
SC13	A0A2K1EDX7	78.902954	38.934757	unclassified Paenibacillus (no rank), Paenibacillus (genus), Paenibacillaceae (family), Bacillales (order), Bacilli (class), Bacillota (phylum), Terrabacteria group (no rank), Bacteria (superkingdom), cellular organisms (no rank)	Paenibacillus sp. F4	Bacillota	0.427	0.9563
SC13	A0A2K8KK82	105.122665	45.17854	Reinekea (genus), Saccharospirillaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Reinekea forsetii	Pseudomonadota	0.539	0.955
SC13	A0A2K9AX42	74.13126	49.930466	Kangiella (genus), Kangiellaceae (family), Kangiellales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Kangiella profundi	Pseudomonadota	0.516	0.9495
