protid	StruCluster
D2RMB0	SC11
E6YHM6	SC11
E6YLK0	SC11
E6YQU6	SC11
E6YVC8	SC11
E6YZL5	SC11
E7G423	SC11
E8TJJ7	SC11
F0L1N7	SC11
F2A8N0	SC11
F7X4E4	SC11
F7Y3T9	SC11
F7ZCG1	SC11
F9Y9W4	SC11
G4Q6E8	SC11
G6Y542	SC11
G8UQR9	SC11
G9A3Q7	SC11
H0G086	SC11
H0HUT7	SC11
H0SWJ5	SC11
H4FEK8	SC11
H5YH11	SC11
I2Q9W8	SC11
I3X0U3	SC11
I5BRR2	SC11
I9AWW7	SC11
J0BK77	SC11
J0H089	SC11
J0K788	SC11
J0PWE0	SC11
J0PWP9	SC11
J0QLI4	SC11
J0QW55	SC11
J0R3D9	SC11
J0W0W7	SC11
J1IX75	SC11
J1JVU0	SC11
J1K0J5	SC11
J2AWX1	SC11
J2UZI5	SC11
J3BGK6	SC11
J3I620	SC11
J4TF65	SC11
J9A625	SC11
K0PER3	SC11
K0WIU1	SC11
K2I8U3	SC11
K2N5V6	SC11
K2N852	SC11
K2QBI3	SC11
K5YWR9	SC11
L0KSP9	SC11
L0NDD8	SC11
M1NTG7	SC11
M5F2T1	SC11
M5F6R8	SC11
M8ACQ2	SC11
N6TZJ6	SC11
N6UMT4	SC11
N6UNQ3	SC11
N6VF59	SC11
N6VPL7	SC11
Q0FQP9	SC11
Q11JB0	SC11
Q135R0	SC11
Q168E9	SC11
Q1MIW6	SC11
Q28TI7	SC11
Q2KA42	SC11
Q3IZS6	SC11
Q6G327	SC11
Q7CZW1	SC11
Q89MS0	SC11
Q92QV9	SC11
Q983V3	SC11
R5NN84	SC11
R6GFA5	SC11
R6K1L7	SC11
R7E5H5	SC11
R7M187	SC11
S0NIM9	SC11
S3HMA5	SC11
S5RVK8	SC11
S9QEJ8	SC11
S9R007	SC11
U2WCH0	SC11
U2WVI3	SC11
U4Q2X0	SC11
V5SDI9	SC11
V7EGH2	SC11
V7F0Y8	SC11
V7F8K1	SC11
V7G9I8	SC11
V7H3Y4	SC11
V7HMN9	SC11
W0IF37	SC11
W3TWP0	SC11
W6RRU6	SC11
W6WDW3	SC11
W8IG78	SC11
W8RY14	SC11
X5MFV4	SC11
X5P5S8	SC11
X5PSS8	SC11
X5Q705	SC11
X5RX13	SC11
X5U6N7	SC11
X5VFR2	SC11
X5WUL7	SC11
X5Y2P6	SC11
X5YRY1	SC11
X5ZAD5	SC11
X6C212	SC11
X6CLT4	SC11
X6CNQ9	SC11
X6DXW4	SC11
X6F371	SC11
X6FLA7	SC11
X6GLG6	SC11
X6HIY0	SC11
X6HVZ7	SC11
X6IP16	SC11
X6IY20	SC11
X6JCV6	SC11
X6JN13	SC11
X6KAF0	SC11
X6L215	SC11
X7FCI3	SC11
A0A1S8CVA4	SC12
A0A009G216	SC12
A0A009GDQ6	SC12
A0A009HJR7	SC12
A0A009HL91	SC12
A0A009HRB2	SC12
A0A009NCA9	SC12
A0A009QDD5	SC12
A0A009QHE6	SC12
A0A009RMH2	SC12
A0A009SCX3	SC12
A0A009SEQ8	SC12
A0A009YG56	SC12
A0A009YT68	SC12
A0A010IZF3	SC12
A0A013RZ16	SC12
A0A013TPT6	SC12
A0A014B4I0	SC12
A0A014B889	SC12
A0A014BJU6	SC12
A0A014BMK3	SC12
A0A014BVI8	SC12
A0A014CG45	SC12
A0A014CMB8	SC12
A0A014CYJ3	SC12
A0A014D1V1	SC12
A0A014DCG6	SC12
A0A014DE40	SC12
A0A014DNG7	SC12
A0A014DWY7	SC12
A0A014EVJ3	SC12
A0A014F481	SC12
A0A014FN61	SC12
A0A022J810	SC12
A0A031LTD4	SC12
A0A031LTG5	SC12
A0A062BUZ9	SC12
A0A062GRU3	SC12
A0A062IBL8	SC12
A0A062IR55	SC12
A0A062N107	SC12
A0A062NCD9	SC12
A0A066UKQ8	SC12
A0A072D0X2	SC12
A0A072DDW4	SC12
A0A077L1M3	SC12
A0A077L585	SC12
A0A088DA64	SC12
A0A090C1G8	SC12
A0A0A3W1Y0	SC12
A0A0A8TMG2	SC12
A0A0A8TQR1	SC12
A0A0A8XDH6	SC12
A0A0A8XG50	SC12
A0A0B0KN27	SC12
A0A0B0KRJ9	SC12
A0A0D5YJ41	SC12
A0A0E1PT57	SC12
A0A0E1PX51	SC12
A0A0E2G922	SC12
A0A0E2GNR8	SC12
A0A0J0ZVC4	SC12
A0A0J1CY58	SC12
A0A0J8SP32	SC12
A0A0M1I763	SC12
A0A0M3A3I6	SC12
A0A0M4GTC5	SC12
A0A0M8MDL5	SC12
A0A0N9VG88	SC12
A0A0Q5GJC9	SC12
A0A0Q7ETG4	SC12
A0A0Q7G3J9	SC12
A0A0R0S3M7	SC12
A0A0R1QKH1	SC12
A0A0U2B7T8	SC12
A0A0U3I7H7	SC12
A0A0U3RN23	SC12
A0A0X3QP06	SC12
A0A126W3Z1	SC12
A0A139DDI5	SC12
A0A143G3C4	SC12
A0A145X3P2	SC12
A0A150HXP2	SC12
A0A151XXD5	SC12
A0A151Y2K8	SC12
A0A151YQ01	SC12
A0A158LRX3	SC12
A0A158LT84	SC12
A0A172YMH6	SC12
A0A178G2W5	SC12
A0A178GIJ1	SC12
A0A1A0GMQ9	SC12
A0A1A7RCI7	SC12
A0A1A7RF66	SC12
A0A1A9I715	SC12
A0A1B2M0M7	SC12
A0A1B2M1K7	SC12
A0A1B8PJR7	SC12
A0A1B8PYQ2	SC12
A0A1B8QSH4	SC12
A0A1C2NT37	SC12
A0A1C2UIA0	SC12
A0A1C2WZH2	SC12
A0A1C3D1N1	SC12
A0A1C4GSC6	SC12
A0A1E3GGA3	SC12
A0A1E3GJQ6	SC12
A0A1E3YAE5	SC12
A0A1E7R9I4	SC12
A0A1E8DYJ9	SC12
A0A1E8DZP4	SC12
A0A1E9VQM0	SC12
A0A1F2UU42	SC12
A0A1F2XMP6	SC12
A0A1G3DMS3	SC12
A0A1G3DUW7	SC12
A0A1G6GKZ5	SC12
A0A1G6GUX0	SC12
A0A1G6H522	SC12
A0A1H3IWR1	SC12
A0A1H3YB76	SC12
A0A1H7T0K1	SC12
A0A1H7WSQ1	SC12
A0A1H8Q354	SC12
A0A1I6Q6H8	SC12
A0A1J4NIX4	SC12
A0A1J6XSP2	SC12
A0A1J6Y0F8	SC12
A0A1L6KP84	SC12
A0A1P8EIL6	SC12
A0A1P8PI96	SC12
A0A1R7Q8L0	SC12
A0A1R7QBM2	SC12
A0A1S2G0A4	SC12
A0A1T0A784	SC12
A0A1T0AA70	SC12
A0A1T1GWF1	SC12
A0A1T1GX21	SC12
A0A1T1GXS2	SC12
A0A1T1H0T6	SC12
A0A1T1J7Q6	SC12
A0A1T1JA38	SC12
A0A1T1JCL9	SC12
A0A1T1JR46	SC12
A0A1V2UQ35	SC12
A0A1V2V4Q0	SC12
A0A1V2V4R5	SC12
A0A1V2V868	SC12
A0A1V4GT42	SC12
A0A1Y3C662	SC12
A0A1Y3CHZ9	SC12
A0A1Y3CR81	SC12
A0A1Y3CVR6	SC12
A0A1Y3D5B4	SC12
A0A1Y3DCD0	SC12
A0A1Y3F705	SC12
A0A1Y3F8Q4	SC12
A0A1Z9YYB5	SC12
A0A217EFI3	SC12
A0A239RT41	SC12
A0A239RZI7	SC12
A0A240E6K7	SC12
A0A241UVY1	SC12
A0A241V2D8	SC12
A0A241V9W7	SC12
A0A241VH15	SC12
A0A241VNG1	SC12
A0A241VVY7	SC12
A0A241W1Y5	SC12
A0A241W8K5	SC12
A0A241WG17	SC12
A0A241WHS5	SC12
A0A241WPQ8	SC12
A0A241YLU9	SC12
A0A241ZD88	SC12
A0A258AMY8	SC12
A0A2A2RT07	SC12
A0A2A2Y2J6	SC12
A0A2A5PI59	SC12
A0A2A5PKA0	SC12
A0A2D1ILM3	SC12
A0A2G4H1T7	SC12
A0A2G4JE40	SC12
A0A2H9UPB3	SC12
A0A2H9YUA1	SC12
A0A2I8CRC9	SC12
A0A2K8UKE3	SC12
A0A2L0HU89	SC12
A0A2L0HWR8	SC12
A0A2L0I6J7	SC12
A0A2L0I8L2	SC12
A0A2L1VGQ9	SC12
A0A2L2LZT1	SC12
A0A2L2M1U9	SC12
A0A2M8MG93	SC12
A0A2M8MI04	SC12
A0A2P6AUF2	SC12
A0A2R4TIQ7	SC12
A0A2R4UMX3	SC12
A0A2S1FF52	SC12
A0A2S2FDL9	SC12
A0A2S2FFH0	SC12
A0A2S4T4I0	SC12
A0A2S4T7C4	SC12
A0A2S4T934	SC12
A0A2T1IYP8	SC12
A0A2T5J376	SC12
A0A2T5QCL2	SC12
A0A2T5QSC2	SC12
A0A2T7FPV6	SC12
A0A2U3MXV1	SC12
A0A2U3N1D1	SC12
A0A2V1HKC5	SC12
A0A2W5RCH7	SC12
A0A2W5RTM9	SC12
A0A315WF04	SC12
A0A315WKB8	SC12
A0A330F473	SC12
A0A333W6W6	SC12
A0A345P648	SC12
A0A350CCW6	SC12
A0A366MG05	SC12
A0A371YNN0	SC12
A0A371YRC3	SC12
A0A372BKQ7	SC12
A0A373B918	SC12
A0A373BCJ9	SC12
A0A378PKW3	SC12
A0A378Q081	SC12
A0A378QGN6	SC12
A0A378QM76	SC12
A0A378QZS3	SC12
A0A378R8J6	SC12
A0A378T5S0	SC12
A0A380TRI0	SC12
A0A380U780	SC12
A0A380UUN3	SC12
A0A385C407	SC12
A0A385ETH3	SC12
A0A385EWM1	SC12
A0A385N307	SC12
A0A385N843	SC12
A0A388PG45	SC12
A0A3A8EGP5	SC12
A0A3A8ENK9	SC12
A0A3A8EZP2	SC12
A0A3A8FDB0	SC12
A0A3A8FKN0	SC12
A0A3A8GG55	SC12
A0A3B7LYI0	SC12
A0A3B7M618	SC12
A0A3B7PRL0	SC12
A0A3B7PUE8	SC12
A0A3B9SHA6	SC12
A0A3D2SM39	SC12
A0A3D3AYU5	SC12
A0A3D3W1F1	SC12
A0A3D4GYD3	SC12
A0A3D4UD83	SC12
A0A3D4Z1X7	SC12
A0A3E0H8I6	SC12
A0A3F3A945	SC12
A0A3F3L618	SC12
A0A3F3MLV4	SC12
A0A3G2T493	SC12
A0A3G2YVT3	SC12
A0A3N4RCK8	SC12
A0A3N4RE07	SC12
A0A3Q8CUG9	SC12
A0A3Q8XBD8	SC12
A0A3Q8XCT0	SC12
A0A3R7XN60	SC12
A0A3R9FMC2	SC12
A0A3R9IN43	SC12
A0A3R9LJW7	SC12
A0A3R9MTN3	SC12
A0A3R9PFP4	SC12
A0A3R9Q3S2	SC12
A0A3R9Z1X0	SC12
A0A3S0ST66	SC12
A0A427QVE0	SC12
A0A427R390	SC12
A0A427S2C0	SC12
A0A427UWV9	SC12
A0A427X998	SC12
A0A429J4E9	SC12
A0A429K2J0	SC12
A0A429K3Y7	SC12
A0A446ZM85	SC12
A0A496NHZ6	SC12
A0A498D776	SC12
A0A4P5WPW7	SC12
A0A4P7B7V2	SC12
A0A4P8DT50	SC12
A0A4Q4GTB0	SC12
A0A4Q5VLS9	SC12
A0A4Q7AJL0	SC12
A0A4Q7AMH1	SC12
A0A4Q7B1E0	SC12
A0A4Q7BAB6	SC12
A0A4Q7BET5	SC12
A0A4Q7BP18	SC12
A0A4Q7BSA5	SC12
A0A4R0D0J6	SC12
A0A4R0D950	SC12
A0A4R0DBF0	SC12
A0A4R0DLD2	SC12
A0A4R0DP17	SC12
A0A4R0DW95	SC12
A0A4R0E5C7	SC12
A0A4R0E6Z3	SC12
A0A4R0EF90	SC12
A0A4R0EPF3	SC12
A0A4R0ESF0	SC12
A0A4R0EWM9	SC12
A0A4R0F029	SC12
A0A4R0XY59	SC12
A0A4R1XMC3	SC12
A0A4R1XV01	SC12
A0A4R3KN20	SC12
A0A4R6CI30	SC12
A0A4V1W1F2	SC12
A0A4V2DQ10	SC12
A0A4V2DQZ0	SC12
A0A4V2LLV8	SC12
A0A4V2LS72	SC12
A0A4V2LSC9	SC12
A0A4V2LSJ2	SC12
A0A4V3P3D7	SC12
A0A4Y7XE04	SC12
A0A505MHQ8	SC12
A0A505MRR2	SC12
A0A510WYN2	SC12
A0A510X1Q7	SC12
A0A515BDH5	SC12
A0A519JGR0	SC12
A0A534W4Z5	SC12
A0A558ESX7	SC12
A0A5C0U2X0	SC12
A0A5C0U9H0	SC12
A0A5C8CDB1	SC12
A0A5E9PG03	SC12
A0A5E9PK84	SC12
A0A5K1ML43	SC12
A0A5K1MMS4	SC12
A0A5K6CRU6	SC12
A0A5K6CUD1	SC12
A0A5N0G2C1	SC12
A0A5N4W4U3	SC12
A0A5N4WTS9	SC12
A0A5N7TV60	SC12
A0A5N7U272	SC12
A0A5P1UVG9	SC12
A0A5P9QR90	SC12
A0A5Q0P1R0	SC12
A0A5Q0RQS8	SC12
A0A653KYZ6	SC12
A0A653L683	SC12
A0A654KXH6	SC12
A0A654KZB7	SC12
A0A6A1RRM4	SC12
A0A6A1RU20	SC12
A0A6B2B3U3	SC12
A0A6C0XZA0	SC12
A0A6C0Y0C0	SC12
A0A6C0YUW4	SC12
A0A6F8TFX6	SC12
A0A6G8RTM0	SC12
A0A6G8S6B1	SC12
A0A6H0FWM0	SC12
A0A6H2C6D2	SC12
A0A6H2CAL1	SC12
A0A6H2VK18	SC12
A0A6H3EMV3	SC12
A0A6H3SVM8	SC12
A0A6H3U269	SC12
A0A6L6GFF6	SC12
A0A6N0LGG3	SC12
A0A6N1KWB6	SC12
A0A6N1ME09	SC12
A0A6N1MUS8	SC12
A0A6P1LHK0	SC12
A0A6P1LNA2	SC12
A0A7D4X8U3	SC12
A0A7D5B2T1	SC12
A0A7G2SC21	SC12
A0A7G2SGG2	SC12
A0A7G3BXX2	SC12
A0A7H2PNL1	SC12
A0A7H2QH06	SC12
A0A7H2R2F9	SC12
A0A7H2RWN6	SC12
A0A7H2V2W4	SC12
A0A7H2WKV0	SC12
A0A7H2YU76	SC12
A0A7H2ZBZ3	SC12
A0A7H8SBY3	SC12
A0A7H8SEV5	SC12
A0A7H8VJE4	SC12
A0A7I8D727	SC12
A0A7J2YUF9	SC12
A0A7S6VW15	SC12
A0A7S6VXL5	SC12
A0A7S6W4M2	SC12
A0A7S6YP01	SC12
A0A7S7AJK5	SC12
A0A7S8XFR9	SC12
A0A7S8XNC3	SC12
A0A7T7R5A0	SC12
A0A7T7WJH7	SC12
A0A7U3XXD7	SC12
A0A7U3Y5X6	SC12
A0A7U3Y6V4	SC12
A0A7U4DDC3	SC12
A0A7U4F700	SC12
A0A7U4F7M8	SC12
A0A7W0KA02	SC12
A0A7W1FHD6	SC12
A0A7Y2LUA5	SC12
A0A7Y3K7N6	SC12
A0A7Y8PBM1	SC12
A0A7Y8PEY1	SC12
A0A7Y8PPI7	SC12
A0A7Y8Q2Y3	SC12
A0A7Y8Q821	SC12
A0A7Y8Q8X6	SC12
A0A7Y8TXI3	SC12
A0A7Y8U4S3	SC12
A0A7Z1WHU4	SC12
A0A7Z2BJC9	SC12
A0A808FV52	SC12
A0A811G705	SC12
A0A811GC28	SC12
A0A811GFZ4	SC12
A0A828SWL4	SC12
A0A828SXB6	SC12
A0A829HKM7	SC12
A0A829JY62	SC12
A0A829K9C0	SC12
A0A829RFS7	SC12
A0A829RHG8	SC12
A0A829RN37	SC12
A0A829RN94	SC12
A0A829RSI1	SC12
A0A829S236	SC12
A0A833PGS1	SC12
A0A833UUE4	SC12
A0A836M034	SC12
A0A836M0M9	SC12
A0A836MKW8	SC12
A0A837QDA4	SC12
A0A837QIU2	SC12
A0A838PJQ9	SC12
A0A841MPQ5	SC12
A0A841MTI8	SC12
A0A845PK89	SC12
A0A849AWK8	SC12
A0A849NRB7	SC12
A0A854LZ14	SC12
A0A854MC73	SC12
A0A855WQ20	SC12
A0A857IL06	SC12
A0A8B4N7R0	SC12
A0A8B4RN93	SC12
A0A8B5S496	SC12
A3M3C8	SC12
A6EYX4	SC12
B0V9M3	SC12
B0VQD2	SC12
B0VSQ1	SC12
B7GXW8	SC12
C0VJI7	SC12
C7FPE1	SC12
C7FPK8	SC12
D0RXY4	SC12
D0S0B0	SC12
D0SAR2	SC12
D0SFH6	SC12
D0SM72	SC12
D0SUL0	SC12
D0SYA4	SC12
D4XNT6	SC12
D8JDU9	SC12
F0KGU8	SC12
G7GEF2	SC12
J1I066	SC12
K9ACG7	SC12
K9BE15	SC12
L9LPV1	SC12
L9M215	SC12
L9M7U0	SC12
L9MFV7	SC12
N8NLQ7	SC12
N8P078	SC12
N8Q2M4	SC12
N8QSU8	SC12
N8QWQ0	SC12
N8R5D5	SC12
N8RFS4	SC12
N8RTE1	SC12
N8SA49	SC12
N8TV59	SC12
N8TXA6	SC12
N8V3K9	SC12
N8V8M1	SC12
N8VH27	SC12
N8VJT8	SC12
N8VPI5	SC12
N8VZC7	SC12
N8W389	SC12
N8WH66	SC12
N8WI03	SC12
N8WU31	SC12
N8WX95	SC12
N8XBV9	SC12
N8XDX8	SC12
N8XHT8	SC12
N8XW50	SC12
N8Y416	SC12
N8YJW9	SC12
N8Z501	SC12
N8ZLT3	SC12
N8ZMQ1	SC12
N8ZTB0	SC12
N8ZV91	SC12
N9AE78	SC12
N9B8K9	SC12
N9BL34	SC12
N9C5N6	SC12
N9CFA7	SC12
N9CNT4	SC12
N9CQF6	SC12
N9DFT4	SC12
N9DSA5	SC12
N9E1J6	SC12
N9EGN9	SC12
N9F816	SC12
N9FE82	SC12
N9FVT1	SC12
N9GKX0	SC12
N9HBJ1	SC12
N9HDW9	SC12
N9HFB2	SC12
N9J838	SC12
N9JJT6	SC12
N9KJ10	SC12
N9LAS4	SC12
N9LKN0	SC12
N9LRQ1	SC12
N9LZZ8	SC12
N9M682	SC12
N9M7Z5	SC12
N9MG87	SC12
N9MM64	SC12
N9MN40	SC12
N9N2K1	SC12
N9NCV7	SC12
N9NJJ4	SC12
N9NRZ6	SC12
N9NSU7	SC12
N9P1A1	SC12
N9P7M8	SC12
N9PBT0	SC12
N9PQT2	SC12
N9PS50	SC12
N9PSP2	SC12
N9PT04	SC12
N9Q6H1	SC12
N9Q774	SC12
N9QFI1	SC12
N9QUL0	SC12
N9RFH9	SC12
N9RLJ3	SC12
N9RP40	SC12
N9RQC4	SC12
N9S4T0	SC12
N9SAZ2	SC12
N9STN1	SC12
N9TN74	SC12
Q43991	SC12
Q6FBE3	SC12
Q9X4M8	SC12
R8Y6E4	SC12
R8YFB2	SC12
R8YTP9	SC12
R9AKC4	SC12
R9AXL3	SC12
R9B445	SC12
S3MTS3	SC12
S3MY80	SC12
S3TTD7	SC12
S3UA25	SC12
S7WFP0	SC12
S7XX19	SC12
S7XY63	SC12
V2TJB3	SC12
V2U0L2	SC12
V2U3K5	SC12
V2US56	SC12
V2V957	SC12
A0A1V3P2U6	SC13
A0A011N461	SC13
A0A011PU73	SC13
A0A014P0A0	SC13
A0A015MQ07	SC13
A0A060B9Q6	SC13
A0A063Y2Y2	SC13
A0A075K1Q8	SC13
A0A075K5I5	SC13
A0A080MDA4	SC13
A0A081FYI5	SC13
A0A081P4J8	SC13
A0A090AIP8	SC13
A0A099PFF1	SC13
A0A0A1FBY2	SC13
A0A0A2SPN0	SC13
A0A0B0HGA9	SC13
A0A0B7GVB7	SC13
A0A0C3EF34	SC13
A0A0D5M097	SC13
A0A0D5NL51	SC13
A0A0D6E5E4	SC13
A0A0D7UUB8	SC13
A0A0D7X516	SC13
A0A0E2ZK47	SC13
A0A0E3YVZ4	SC13
A0A0F3K9A4	SC13
A0A0F3L1M9	SC13
A0A0G3G8X5	SC13
A0A0G9H7I3	SC13
A0A0G9H8D1	SC13
A0A0G9HCF0	SC13
A0A0H4VK48	SC13
A0A0M4G7E4	SC13
A0A0P7XTH6	SC13
A0A0P7YXL4	SC13
A0A0P9FH98	SC13
A0A0Q5LDN3	SC13
A0A0Q6TUH8	SC13
A0A0Q7IX27	SC13
A0A0Q7WKI6	SC13
A0A0Q8DU06	SC13
A0A0Q8DZ75	SC13
A0A0Q8MA77	SC13
A0A0Q8MYS6	SC13
A0A0Q9LBJ0	SC13
A0A0Q9LLI4	SC13
A0A0Q9PKU0	SC13
A0A0Q9PMD9	SC13
A0A0Q9PNP2	SC13
A0A0Q9PNS6	SC13
A0A0R2AGM6	SC13
A0A0R2S994	SC13
A0A0R2SWC7	SC13
A0A0R2TC88	SC13
A0A0R2WWG8	SC13
A0A0R2XI14	SC13
A0A0S2KEK4	SC13
A0A0S2S7Y6	SC13
A0A0S2TA54	SC13
A0A0S7Z0P1	SC13
A0A0S8GKD7	SC13
A0A0W0RW53	SC13
A0A0W0SR90	SC13
A0A0W0TU97	SC13
A0A0W0VIH8	SC13
A0A0W0X3L0	SC13
A0A0W0XGT0	SC13
A0A0W0YQ06	SC13
A0A0W0YZM5	SC13
A0A0W0ZCW2	SC13
A0A0W0ZQ47	SC13
A0A0W1ADK7	SC13
A0A0W1AJE8	SC13
A0A101D3G5	SC13
A0A127B4S4	SC13
A0A127Q6A3	SC13
A0A127QW14	SC13
A0A143XKN0	SC13
A0A154QDH7	SC13
A0A154R461	SC13
A0A154R5W0	SC13
A0A160DXL3	SC13
A0A160MZ81	SC13
A0A160MZG8	SC13
A0A163YDS8	SC13
A0A167BRN1	SC13
A0A172YEH4	SC13
A0A177W402	SC13
A0A1A0FHK1	SC13
A0A1A5YC44	SC13
A0A1A6C226	SC13
A0A1A9R5G8	SC13
A0A1B3BBR7	SC13
A0A1B4V0J5	SC13
A0A1B8W6W3	SC13
A0A1C5KN66	SC13
A0A1C5QU86	SC13
A0A1C5Y9J5	SC13
A0A1C6KJ66	SC13
A0A1D2S3V9	SC13
A0A1D8IL96	SC13
A0A1D8K9U3	SC13
A0A1E3GCY1	SC13
A0A1E4HJ55	SC13
A0A1E4Q415	SC13
A0A1E4ZV03	SC13
A0A1E5JQ99	SC13
A0A1F4G5R6	SC13
A0A1F6THJ5	SC13
A0A1G0GET7	SC13
A0A1G0K3W7	SC13
A0A1G2W8B7	SC13
A0A1G4RCR9	SC13
A0A1G5PR12	SC13
A0A1G7IUJ7	SC13
A0A1G7JGZ7	SC13
A0A1G7TRY8	SC13
A0A1G8Q7L5	SC13
A0A1G9T257	SC13
A0A1G9ZIH5	SC13
A0A1H0EJ72	SC13
A0A1H1Z3P1	SC13
A0A1H2FAY0	SC13
A0A1H5UTV5	SC13
A0A1H6D0Y0	SC13
A0A1H6QGW5	SC13
A0A1H7JXF5	SC13
A0A1H7MF55	SC13
A0A1H7WRJ0	SC13
A0A1H8CYI6	SC13
A0A1H8GIK5	SC13
A0A1H8HKQ1	SC13
A0A1H8Q7P9	SC13
A0A1H8QAM6	SC13
A0A1H8Z067	SC13
A0A1H9BHW9	SC13
A0A1H9EV00	SC13
A0A1H9MV15	SC13
A0A1H9SHI6	SC13
A0A1H9YBT0	SC13
A0A1I0MAD0	SC13
A0A1I0NCE3	SC13
A0A1I1X685	SC13
A0A1I1YXR9	SC13
A0A1I2FW76	SC13
A0A1I3SZ86	SC13
A0A1I3XQR0	SC13
A0A1I4FGF6	SC13
A0A1I4NZ77	SC13
A0A1I4WJV3	SC13
A0A1I6LDG3	SC13
A0A1I6MU86	SC13
A0A1J5J649	SC13
A0A1J8P927	SC13
A0A1K1N665	SC13
A0A1K1NI54	SC13
A0A1K1P164	SC13
A0A1L3EYY7	SC13
A0A1L5FE22	SC13
A0A1M3C3H9	SC13
A0A1M3P2B6	SC13
A0A1M3P3P3	SC13
A0A1M7BX42	SC13
A0A1M7FD18	SC13
A0A1M7HTK2	SC13
A0A1M7QNF3	SC13
A0A1N6JLY2	SC13
A0A1P8FQV2	SC13
A0A1Q3JLL4	SC13
A0A1Q4FNX8	SC13
A0A1Q8FVC4	SC13
A0A1Q9JWI5	SC13
A0A1R1AER6	SC13
A0A1R1BWE2	SC13
A0A1R1DA91	SC13
A0A1R3VN18	SC13
A0A1R4HR91	SC13
A0A1S9D011	SC13
A0A1T1H8U1	SC13
A0A1T4S292	SC13
A0A1T5EEL2	SC13
A0A1T5GCI4	SC13
A0A1U9RHN6	SC13
A0A1V3BUD3	SC13
A0A1V3NPJ8	SC13
A0A1V3NZ39	SC13
A0A1V3P1C9	SC13
A0A1V3PCI2	SC13
A0A1V3PE12	SC13
A0A1V3PWS2	SC13
A0A1V3Q4G7	SC13
A0A1V3Q6Z3	SC13
A0A1V3Q7C7	SC13
A0A1V3QAG5	SC13
A0A1V3QAN6	SC13
A0A1V4H761	SC13
A0A1V5GQV1	SC13
A0A1W1VPK2	SC13
A0A1W6MWL5	SC13
A0A1W9H7B7	SC13
A0A1W9KFN0	SC13
A0A1W9L208	SC13
A0A1Y4B4T8	SC13
A0A1Y4IMU8	SC13
A0A1Y4JAT9	SC13
A0A1Y4TD23	SC13
A0A1Y4TDC8	SC13
A0A1Y4VJD2	SC13
A0A1Y5GY61	SC13
A0A1Y5KI31	SC13
A0A1Y6BQE2	SC13
A0A1Z4VTG1	SC13
A0A1Z7YLN6	SC13
A0A220RHD0	SC13
A0A222WJ86	SC13
A0A229P067	SC13
A0A229ULI3	SC13
A0A246S488	SC13
A0A257M4N8	SC13
A0A258DDA6	SC13
A0A258QF50	SC13
A0A259QRS8	SC13
A0A259QZW4	SC13
A0A261GTX9	SC13
A0A265E0G4	SC13
A0A285BU15	SC13
A0A286AFG8	SC13
A0A2A3XD67	SC13
A0A2A4UJA5	SC13
A0A2A4X633	SC13
A0A2A5CBG7	SC13
A0A2A5CNW6	SC13
A0A2A5DET8	SC13
A0A2A7AKV6	SC13
A0A2A9KL97	SC13
A0A2D4VMA6	SC13
A0A2D5GF31	SC13
A0A2D8BQI1	SC13
A0A2E0WNL6	SC13
A0A2E0YAU4	SC13
A0A2E1KW36	SC13
A0A2E1VPM3	SC13
A0A2E2HEC2	SC13
A0A2E2IAM7	SC13
A0A2E2NUP0	SC13
A0A2E3CV04	SC13
A0A2E3MIA3	SC13
A0A2E5M4N8	SC13
A0A2E6LSW1	SC13
A0A2E7CQ32	SC13
A0A2E7D4Y5	SC13
A0A2E7UML9	SC13
A0A2E7ZPP8	SC13
A0A2E8G7J2	SC13
A0A2E9AF95	SC13
A0A2E9DID1	SC13
A0A2E9ITM6	SC13
A0A2E9XXX0	SC13
A0A2G2M2J0	SC13
A0A2G3E4U2	SC13
A0A2G4KFH2	SC13
A0A2G5RCJ1	SC13
A0A2G6JGH0	SC13
A0A2H5FJM9	SC13
A0A2K1EDX7	SC13
A0A2K8KK82	SC13
A0A2K9AX42	SC13
A0A2M7CXA2	SC13
A0A2M7GJQ1	SC13
A0A2M7PWY6	SC13
A0A2N1AK72	SC13
A0A2N1R7E6	SC13
A0A2N2AIX1	SC13
A0A2N2JE22	SC13
A0A2N2TWQ7	SC13
A0A2N5N9H7	SC13
A0A2N6AT16	SC13
A0A2N7QML0	SC13
A0A2N7QRJ3	SC13
A0A2P7NZK8	SC13
A0A2R5EQ79	SC13
A0A2R6XXD6	SC13
A0A2S0UCU1	SC13
A0A2S6F6Y9	SC13
A0A2S6FCF0	SC13
A0A2S6N5C1	SC13
A0A2T0V9J2	SC13
A0A2T5I4K7	SC13
A0A2T5IAN9	SC13
A0A2T5KK89	SC13
A0A2T5KQH1	SC13
A0A2T5MBC8	SC13
A0A2T6FT26	SC13
A0A2T9JS20	SC13
A0A2U2BTK1	SC13
A0A2V1GXR1	SC13
A0A2V2RMV4	SC13
A0A2V2YQS4	SC13
A0A2V3VYS3	SC13
A0A2V5KD20	SC13
A0A2V5UGW7	SC13
A0A2V5VB35	SC13
A0A2V5VIW6	SC13
A0A2V5XMC8	SC13
A0A2V5Y5H5	SC13
A0A2V5YQ87	SC13
A0A2V6ID70	SC13
A0A2W1LGC8	SC13
A0A2W1P159	SC13
A0A2W5R3H6	SC13
A0A2W5WQ61	SC13
