protid	LeidenCluster
A0A1C5LMW2	LC25
A0A1C5LQW1	LC02
A0A1C5LUN5	LC14
A0A1C5MJE4	LC00
A0A1C5MPT1	LC02
A0A1C5MWW3	LC34
A0A1C5N365	LC34
A0A1C5N686	LC34
A0A1C5NMB1	LC14
A0A1C5NP46	LC02
A0A1C5NY96	LC03
A0A1C5P3A6	LC14
A0A1C5P7U6	LC02
A0A1C5PGA3	LC04
A0A1C5PKZ1	LC34
A0A1C5PPD5	LC03
A0A1C5Q1N5	LC26
A0A1C5QJL1	LC14
A0A1C5QJS7	LC07
A0A1C5QU86	LC03
A0A1C5QV21	LC08
A0A1C5QXJ2	LC10
A0A1C5RBJ6	LC02
A0A1C5RDB6	LC07
A0A1C5RL71	LC34
A0A1C5S139	LC04
A0A1C5SW60	LC08
A0A1C5TAG3	LC14
A0A1C5TJ38	LC34
A0A1C5TKD0	LC18
A0A1C5TLX1	LC14
A0A1C5TTS4	LC03
A0A1C5U9N3	LC11
A0A1C5UAC0	LC34
A0A1C5UCC7	LC04
A0A1C5UK75	LC25
A0A1C5UQA1	LC34
A0A1C5USN7	LC24
A0A1C5V2E5	LC08
A0A1C5V4F8	LC21
A0A1C5V9F3	LC17
A0A1C5VF25	LC14
A0A1C5VL15	LC00
A0A1C5VRT1	LC14
A0A1C5VUK8	LC25
A0A1C5WDF6	LC08
A0A1C5WFI1	LC34
A0A1C5WJ68	LC34
A0A1C5WMK4	LC34
A0A1C5WVA4	LC17
A0A1C5WVB1	LC34
A0A1C5WVJ3	LC17
A0A1C5WW59	LC34
A0A1C5X1G8	LC04
A0A1C5X1W8	LC03
A0A1C5X4H0	LC08
A0A1C5X818	LC34
A0A1C5XJ64	LC02
A0A1C5XR09	LC25
A0A1C5Y6Y7	LC25
A0A1C5Y9J5	LC03
A0A1C5YJI4	LC04
A0A1C5YLG2	LC33
A0A1C5Z7M6	LC02
A0A1C5ZC41	LC08
A0A1C5ZCP5	LC25
A0A1C5ZF33	LC11
A0A1C5ZHN1	LC02
A0A1C5ZQ73	LC14
A0A1C6A3X6	LC02
A0A1C6A5Z4	LC14
A0A1C6AMK0	LC04
A0A1C6AZJ7	LC14
A0A1C6B001	LC02
A0A1C6BF44	LC18
A0A1C6BII7	LC02
A0A1C6BQB9	LC25
A0A1C6BUX4	LC25
A0A1C6CH08	LC26
A0A1C6CIT1	LC25
A0A1C6CL33	LC02
A0A1C6DFD9	LC03
A0A1C6DMB7	LC11
A0A1C6E964	LC14
A0A1C6EG77	LC18
A0A1C6ET28	LC18
A0A1C6F0M7	LC02
A0A1C6F0T0	LC00
A0A1C6F842	LC33
A0A1C6G2Y1	LC11
A0A1C6GAJ8	LC17
A0A1C6GWC0	LC02
A0A1C6HQJ1	LC34
A0A1C6HT83	LC00
A0A1C6IPK2	LC11
A0A1C6IVV0	LC02
A0A1C6JQS7	LC25
A0A1C6JT00	LC14
A0A1C6JUE9	LC10
A0A1C6K2Z9	LC02
A0A1C6KEG2	LC18
A0A1C6KF10	LC08
A0A1C6KHW9	LC34
A0A1C6KJ66	LC03
A0A1C6LG81	LC02
A0A1C6LIH9	LC05
A0A1C6NW79	LC01
A0A1C6P7J2	LC01
A0A1C6Q422	LC02
A0A1C6Q606	LC01
A0A1C6QPA0	LC30
A0A1C6QY34	LC01
A0A1C6RT36	LC03
A0A1C6RVA3	LC03
A0A1C6SK67	LC03
A0A1C6SXF9	LC03
A0A1C6SYV0	LC03
A0A1C6TXI6	LC03
A0A1C6U6U3	LC03
A0A1C6UAZ8	LC03
A0A1C6UDE4	LC03
A0A1C6UXZ8	LC03
A0A1C6YUR3	LC09
A0A1C7BD93	LC12
A0A1C7CKE7	LC22
A0A1C7DBE3	LC10
A0A1C7DKT6	LC18
A0A1C7DVV0	LC18
A0A1C7E3N0	LC36
A0A1C7ED11	LC36
A0A1C7ELY0	LC18
A0A1C7G787	LC17
A0A1C7GX61	LC08
A0A1C7H3K3	LC08
A0A1C7HIR6	LC13
A0A1C7IBL3	LC05
A0A1C7LG39	LC32
A0A1C7P4P2	LC15
A0A1C7PAM9	LC06
A0A1C7W212	LC09
A0A1C7Z943	LC12
A0A1C9BXW0	LC17
A0A1C9VDP3	LC30
A0A1C9W3V6	LC00
A0A1C9WLN7	LC13
A0A1D2ILS8	LC01
A0A1D2QH70	LC02
A0A1D2RWP0	LC07
A0A1D2S2S8	LC30
A0A1D2S3V9	LC20
A0A1D2SDF5	LC17
A0A1D2SNR5	LC42
A0A1D2TGH8	LC00
A0A1D2TZ31	LC33
A0A1D2U6U1	LC30
A0A1D2UXI2	LC04
A0A1D2WE38	LC34
A0A1D2WF62	LC17
A0A1D2WU50	LC18
A0A1D2X886	LC38
A0A1D3E0D6	LC01
A0A1D3K5S7	LC12
A0A1D3NFD4	LC17
A0A1D3QSQ1	LC17
A0A1D3TS50	LC04
A0A1D3UR95	LC11
A0A1D4HE07	LC06
A0A1D7MG34	LC03
A0A1D7NP58	LC05
A0A1D7QK59	LC10
A0A1D7QPG8	LC02
A0A1D7QUC4	LC03
A0A1D7TL76	LC11
A0A1D7U414	LC21
A0A1D7V083	LC05
A0A1D7VUJ4	LC01
A0A1D7W7L2	LC39
A0A1D7YD71	LC01
A0A1D7YWM2	LC09
A0A1D7ZAX9	LC29
A0A1D7ZXN6	LC08
A0A1D8A4H9	LC33
A0A1D8AYV2	LC04
A0A1D8C2P7	LC24
A0A1D8D2E9	LC08
A0A1D8D671	LC08
A0A1D8G2N3	LC01
A0A1D8GJE6	LC02
A0A1D8IE32	LC38
A0A1D8IL96	LC20
A0A1D8JBS0	LC32
A0A1D8JXM9	LC40
A0A1D8K9U3	LC20
A0A1D8QTX4	LC18
A0A1D8T491	LC22
A0A1D8U3Q7	LC35
A0A1D8UWU4	LC14
A0A1D8YBY3	LC06
A0A1D9BEF8	LC20
A0A1D9CY86	LC18
A0A1D9DY26	LC24
A0A1D9ELV0	LC07
A0A1D9FKF1	LC02
A0A1D9GBC2	LC35
A0A1D9GQ18	LC43
A0A1D9H0X7	LC32
A0A1D9LEZ1	LC38
A0A1D9MAT2	LC28
A0A1D9P382	LC05
A0A1D9P651	LC02
A0A1E1F2Y4	LC33
A0A1E1V911	LC21
A0A1E1VS92	LC11
A0A1E2RWI6	LC07
A0A1E2USD3	LC02
A0A1E2VEN1	LC05
A0A1E2WSE2	LC35
A0A1E3A602	LC04
A0A1E3AN37	LC04
A0A1E3CDL6	LC43
A0A1E3ENV7	LC21
A0A1E3FNY3	LC29
A0A1E3GCY1	LC20
A0A1E3GGA3	LC23
A0A1E3GJQ6	LC23
A0A1E3GTW1	LC05
A0A1E3H0U3	LC07
A0A1E3L441	LC13
A0A1E3LCK6	LC04
A0A1E3M0H7	LC10
A0A1E3RR82	LC22
A0A1E3T7Y0	LC00
A0A1E3V6K7	LC15
A0A1E3VNU1	LC07
A0A1E3VYD5	LC07
A0A1E3WBZ5	LC07
A0A1E3YAE5	LC25
A0A1E3YFX0	LC15
A0A1E3YY43	LC30
A0A1E3Z3C2	LC17
A0A1E3Z4U3	LC38
A0A1E4A742	LC05
A0A1E4A8R0	LC00
A0A1E4AX15	LC07
A0A1E4B770	LC17
A0A1E4BI75	LC24
A0A1E4CBY7	LC24
A0A1E4CMG8	LC18
A0A1E4CQP1	LC21
A0A1E4DR49	LC21
A0A1E4DYI3	LC07
A0A1E4EDW6	LC07
A0A1E4EQH9	LC28
A0A1E4EX10	LC14
A0A1E4EX27	LC14
A0A1E4FNP0	LC07
A0A1E4FPW1	LC07
A0A1E4FYR5	LC07
A0A1E4GA52	LC07
A0A1E4GP28	LC04
A0A1E4HGT5	LC20
A0A1E4HJ55	LC20
A0A1E4HN05	LC18
A0A1E4IP76	LC30
A0A1E4JDK5	LC10
A0A1E4JJ63	LC10
A0A1E4JQB8	LC10
A0A1E4JXV8	LC20
A0A1E4KDH5	LC20
A0A1E4KF07	LC06
A0A1E4KRZ5	LC02
A0A1E4LMN0	LC30
A0A1E4M3W8	LC22
A0A1E4MHD0	LC10
A0A1E4NCS2	LC20
A0A1E4PTN4	LC00
A0A1E4Q415	LC31
A0A1E4QJF5	LC37
A0A1E4R3G6	LC18
A0A1E4V4F7	LC12
A0A1E4VM90	LC04
A0A1E4WSN8	LC12
A0A1E4X3R9	LC04
A0A1E4XLQ6	LC12
A0A1E4Y158	LC15
A0A1E4ZV03	LC20
A0A1E5B3I7	LC03
A0A1E5BZB5	LC19
A0A1E5E5E6	LC09
A0A1E5ESI1	LC09
A0A1E5FBK3	LC09
A0A1E5G0Y6	LC05
A0A1E5HY52	LC00
A0A1E5JQ99	LC20
A0A1E5L9F3	LC11
A0A1E5LJE5	LC17
A0A1E5P9J8	LC01
A0A1E5Q2L9	LC41
A0A1E5Q5U9	LC10
A0A1E5QLS2	LC35
A0A1E5QYS4	LC35
A0A1E5TAJ0	LC07
A0A1E5TKK8	LC06
A0A1E5TRM2	LC06
A0A1E5UDY9	LC08
A0A1E5XGJ5	LC12
A0A1E5XJB3	LC07
A0A1E7DL05	LC05
A0A1E7GGH1	LC17
A0A1E7HMT5	LC21
A0A1E7ISD3	LC21
A0A1E7JZZ0	LC02
A0A1E7KMG2	LC02
A0A1E7L1X2	LC02
A0A1E7M190	LC01
A0A1E7N7C5	LC01
A0A1E7PUX9	LC43
A0A1E7Q9A6	LC00
A0A1E7R9I4	LC23
A0A1E7RIL3	LC06
A0A1E7U7F1	LC30
A0A1E7W8R2	LC30
A0A1E7XAT6	LC34
A0A1E7XPX7	LC43
A0A1E7Z0M6	LC43
A0A1E7Z2K1	LC09
A0A1E7Z6S7	LC14
A0A1E8B3D1	LC17
A0A1E8BJX1	LC17
A0A1E8CH51	LC03
A0A1E8CTW6	LC36
A0A1E8DYJ9	LC23
A0A1E8DZP4	LC23
A0A1E8FDJ7	LC14
A0A1E8FNN0	LC13
A0A1E8GBW6	LC11
A0A1E8GF75	LC11
A0A1E8GQS3	LC11
A0A1E8PME0	LC07
A0A1E8Q827	LC17
A0A1E8RS22	LC13
A0A1E8SA02	LC13
A0A1E8TTS0	LC13
A0A1E8VYA3	LC24
A0A1E8YVQ0	LC26
A0A1E9A9X6	LC06
A0A1E9ADK5	LC00
A0A1E9BE97	LC02
A0A1E9CNV0	LC14
A0A1E9DVC5	LC13
A0A1E9GAN4	LC13
A0A1E9HQH5	LC00
A0A1E9IDD8	LC13
A0A1E9M4M6	LC13
A0A1E9P9W1	LC05
A0A1E9TBE9	LC13
A0A1E9VQM0	LC05
A0A1E9Z5I0	LC13
A0A1E9ZG44	LC13
A0A1F0DAY7	LC13
A0A1F0FFT8	LC04
A0A1F0G7K2	LC00
A0A1F0GHK9	LC00
A0A1F0I2U3	LC02
A0A1F0I6X9	LC08
A0A1F0KSM0	LC13
A0A1F0PJE9	LC13
A0A1F0QZX2	LC13
A0A1F0TIA9	LC13
A0A1F0VUV8	LC13
A0A1F0XVV9	LC13
A0A1F1B522	LC00
A0A1F1BT88	LC06
A0A1F1DJ30	LC13
A0A1F1DYD0	LC04
A0A1F1F603	LC13
A0A1F1FF00	LC39
A0A1F1FZX4	LC13
A0A1F1GMA0	LC13
A0A1F1J3Q4	LC13
A0A1F1KIW7	LC00
A0A1F1KKF9	LC03
A0A1F1QF45	LC31
A0A1F1QWJ5	LC13
A0A1F1R4B1	LC06
A0A1F1SS51	LC20
A0A1F1UE43	LC36
A0A1F1V4Q5	LC39
A0A1F2A397	LC00
A0A1F2ET53	LC03
A0A1F2JL68	LC32
A0A1F2K8Q7	LC00
A0A1F2LR87	LC40
A0A1F2PI23	LC14
A0A1F2SXF7	LC21
A0A1F2UU42	LC23
A0A1F2X6S6	LC01
A0A1F2XAZ2	LC00
A0A1F2XMP6	LC25
A0A1F2XQW2	LC07
A0A1F2YA33	LC02
A0A1F2YFS0	LC04
A0A1F2YQ92	LC10
A0A1F3AAT6	LC21
A0A1F3AIB2	LC04
A0A1F3BWB8	LC13
A0A1F3BZ06	LC02
A0A1F3CCF5	LC06
A0A1F3CMI3	LC04
A0A1F3D7K0	LC08
A0A1F3EU27	LC03
A0A1F3EV45	LC06
A0A1F3GBK5	LC04
A0A1F3H1Q8	LC00
A0A1F3IXE8	LC03
A0A1F3IYF4	LC27
A0A1F3JKS8	LC04
A0A1F3JNP3	LC04
A0A1F3KV24	LC08
A0A1F3LUQ1	LC03
A0A1F3MDF3	LC08
A0A1F3MYD4	LC08
A0A1F3NDX1	LC08
A0A1F3Q6J0	LC04
A0A1F3QHK4	LC00
A0A1F3SV52	LC24
A0A1F3TSF3	LC24
A0A1F3WUH6	LC05
A0A1F3X4B7	LC20
A0A1F3YBT5	LC29
A0A1F3ZJE3	LC20
A0A1F3ZJZ9	LC29
A0A1F3ZWD4	LC20
A0A1F4AMH3	LC05
A0A1F4B1F4	LC29
A0A1F4B709	LC05
A0A1F4BCY0	LC20
A0A1F4C8G5	LC14
A0A1F4CGR4	LC05
A0A1F4CX12	LC05
A0A1F4DMX5	LC20
A0A1F4DQF1	LC05
A0A1F4E0B3	LC20
A0A1F4EBR5	LC30
A0A1F4EZ21	LC00
A0A1F4FES0	LC29
A0A1F4G5R6	LC30
A0A1F4GS92	LC30
A0A1F4H570	LC30
A0A1F4I6H4	LC00
A0A1F4IXA4	LC30
A0A1F4J7E1	LC30
A0A1F4JYI9	LC07
A0A1F4KEP8	LC30
A0A1F4LN54	LC30
A0A1F4MQF2	LC04
A0A1F4N5E1	LC05
A0A1F4NBM2	LC30
A0A1F5DD86	LC14
A0A1F5Z2S5	LC04
A0A1F6T528	LC20
A0A1F6THJ5	LC20
A0A1F7FW39	LC08
A0A1F8I685	LC02
A0A1F8I936	LC02
A0A1F8IJE2	LC02
A0A1F8IUQ7	LC02
A0A1F8KW84	LC00
A0A1F8NKH9	LC00
A0A1F8Q3I6	LC13
A0A1F8QML6	LC13
A0A1F8R4A1	LC13
A0A1F8S062	LC06
A0A1F8S5C0	LC18
A0A1F8SDM7	LC06
A0A1F8VFY8	LC30
A0A1F8VMZ4	LC30
A0A1F9CNC0	LC02
A0A1F9DT45	LC36
A0A1F9G2X2	LC00
A0A1F9LGN0	LC02
A0A1F9MU63	LC02
A0A1F9NGX0	LC01
A0A1F9NPQ4	LC00
A0A1F9PX71	LC00
A0A1F9Q1I9	LC21
A0A1F9QY35	LC08
A0A1F9S0J6	LC08
A0A1F9UTS4	LC08
A0A1F9VFR2	LC08
A0A1F9YAZ6	LC08
A0A1F9ZCL3	LC10
A0A1F9ZS30	LC04
A0A1G0AGX7	LC08
A0A1G0AJI1	LC27
A0A1G0AVT4	LC05
A0A1G0BF89	LC27
A0A1G0BFR9	LC05
A0A1G0BL78	LC05
A0A1G0CLR9	LC21
A0A1G0CWU7	LC05
A0A1G0D8H2	LC05
A0A1G0DS73	LC05
A0A1G0ED52	LC05
A0A1G0EM69	LC05
A0A1G0GET7	LC20
A0A1G0I4I8	LC07
A0A1G0JEU1	LC00
A0A1G0K3W7	LC20
A0A1G0KZ64	LC07
A0A1G0LMZ8	LC07
A0A1G0LR27	LC21
A0A1G0MEG2	LC07
A0A1G0MGN9	LC21
A0A1G0MM74	LC21
A0A1G0MXY3	LC21
A0A1G0NGM3	LC20
A0A1G0PCX9	LC36
A0A1G0QZ75	LC36
A0A1G0R9A1	LC17
A0A1G0RCC5	LC00
A0A1G0SLA9	LC36
A0A1G0VG97	LC05
A0A1G0WAJ9	LC34
A0A1G0WNX9	LC26
A0A1G0X609	LC36
A0A1G0XP66	LC02
A0A1G0XVX1	LC04
A0A1G0Y9G8	LC07
A0A1G0YW55	LC21
A0A1G0Z4L3	LC07
A0A1G0Z508	LC02
A0A1G0ZV22	LC21
A0A1G0ZW48	LC25
A0A1G1AZH0	LC30
A0A1G1BDI7	LC05
A0A1G1BZH5	LC06
A0A1G1IV78	LC08
A0A1G1JMJ1	LC08
A0A1G1LN70	LC00
A0A1G1NHI7	LC00
A0A1G1T8Q6	LC18
A0A1G1T9C2	LC00
A0A1G2W8B7	LC03
A0A1G2WCS9	LC21
A0A1G2Z8Q1	LC08
A0A1G3AG57	LC07
A0A1G3D887	LC12
A0A1G3DHS3	LC12
A0A1G3DMS3	LC23
A0A1G3DPF7	LC12
A0A1G3DUW7	LC23
A0A1G3E9F6	LC12
A0A1G3F077	LC12
A0A1G3FHN0	LC11
A0A1G3G1Q3	LC11
A0A1G3G5I2	LC11
A0A1G3HE67	LC20
A0A1G3HP26	LC20
A0A1G3HRD6	LC20
A0A1G3ICF8	LC21
A0A1G3IKW1	LC05
A0A1G3IRZ7	LC10
A0A1G3J3I8	LC00
A0A1G3JP54	LC10
A0A1G3K164	LC33
A0A1G3KEB5	LC10
A0A1G3KHL9	LC10
A0A1G3KPR3	LC33
A0A1G3MKC7	LC08
A0A1G3PAC3	LC06
A0A1G3PHE8	LC02
A0A1G3PJX2	LC07
A0A1G3RUG5	LC00
A0A1G3ST48	LC10
A0A1G3TQD3	LC10
A0A1G3U661	LC10
A0A1G3UE87	LC10
A0A1G3V1G8	LC02
A0A1G3YZ88	LC21
A0A1G3ZDG4	LC07
A0A1G3ZDI9	LC07
A0A1G4A349	LC25
A0A1G4ELJ4	LC17
A0A1G4G9N7	LC00
A0A1G4P4A6	LC08
A0A1G4P6B6	LC27
A0A1G4P8Y7	LC15
A0A1G4PG24	LC14
A0A1G4QHJ3	LC00
A0A1G4QIY9	LC12
A0A1G4QZ07	LC06
A0A1G4RCR9	LC03
A0A1G4T7K2	LC12
A0A1G4UF61	LC06
A0A1G4VI09	LC27
A0A1G4VKR6	LC26
A0A1G4W5X6	LC46
A0A1G4XDN2	LC14
A0A1G4YHD4	LC26
A0A1G4YRA1	LC40
A0A1G4ZRA5	LC30
A0A1G5B4U5	LC21
A0A1G5B6J2	LC05
A0A1G5B8L9	LC27
A0A1G5B982	LC03
A0A1G5BNS3	LC14
A0A1G5C123	LC02
A0A1G5CLR6	LC33
A0A1G5CRX7	LC24
A0A1G5CUY9	LC27
A0A1G5D3Y9	LC14
A0A1G5EDT4	LC27
A0A1G5FK37	LC28
A0A1G5GW65	LC34
A0A1G5HL49	LC36
A0A1G5HTA0	LC04
A0A1G5IMG4	LC14
A0A1G5KMT8	LC07
A0A1G5LLM8	LC01
A0A1G5MRI0	LC31
A0A1G5NI64	LC21
A0A1G5PKQ0	LC13
A0A1G5PR12	LC03
A0A1G5Q7N1	LC09
A0A1G5RWU9	LC27
A0A1G5S7A5	LC02
A0A1G5SHR9	LC14
A0A1G5T0X4	LC21
A0A1G5TE69	LC06
A0A1G5TVN0	LC14
A0A1G5VP03	LC12
A0A1G5VXN3	LC05
A0A1G5VYR0	LC18
A0A1G5W0I4	LC00
A0A1G5X7P5	LC15
A0A1G5XGS7	LC27
A0A1G5YIE1	LC12
A0A1G6AQY1	LC27
A0A1G6AXW2	LC34
A0A1G6D9P3	LC07
A0A1G6DBY6	LC04
A0A1G6DLB6	LC06
A0A1G6EHT3	LC28
A0A1G6GKZ5	LC23
A0A1G6GTH7	LC08
A0A1G6GUX0	LC23
A0A1G6H522	LC23
A0A1G6HL89	LC00
A0A1G6HZD9	LC17
A0A1G6IH68	LC34
A0A1G6IND4	LC36
A0A1G6ISK7	LC32
A0A1G6IXJ5	LC30
A0A1G6J4L3	LC12
A0A1G6J5S8	LC02
A0A1G6JR04	LC07
A0A1G6KJ87	LC22
A0A1G6LG38	LC11
A0A1G6LYI9	LC25
A0A1G6LZK4	LC24
A0A1G6N431	LC27
A0A1G6N5J6	LC24
A0A1G6NZX5	LC24
A0A1G6PWF8	LC10
A0A1G6QAT4	LC01
A0A1G6RP17	LC05
A0A1G6RZE5	LC02
A0A1G6T203	LC00
A0A1G6TAU6	LC10
A0A1G6TNQ1	LC06
A0A1G6UYN8	LC18
A0A1G6VQ80	LC01
A0A1G6VTF8	LC29
A0A1G6VU07	LC36
A0A1G6VZL2	LC25
A0A1G6WE95	LC04
A0A1G6WTP1	LC06
A0A1G6XAK1	LC25
A0A1G6XCC4	LC22
A0A1G6XGS8	LC02
A0A1G6XR55	LC01
A0A1G6Y098	LC21
A0A1G6YD99	LC07
A0A1G6YDA0	LC30
A0A1G6YX30	LC01
A0A1G6ZKM8	LC00
A0A1G6ZL69	LC00
A0A1G7AB85	LC18
A0A1G7AEC7	LC00
A0A1G7AKL0	LC11
A0A1G7CBB6	LC30
A0A1G7CIB5	LC32
A0A1G7CMD0	LC12
A0A1G7CV42	LC10
A0A1G7D0J8	LC33
A0A1G7DT50	LC21
A0A1G7F2E1	LC44
A0A1G7FT80	LC18
A0A1G7FTC7	LC27
A0A1G7G8C6	LC46
A0A1G7GG75	LC28
A0A1G7H853	LC14
A0A1G7I4J0	LC18
A0A1G7II79	LC28
A0A1G7IUJ7	LC31
A0A1G7JGZ7	LC20
A0A1G7JHI0	LC04
A0A1G7JKT4	LC19
A0A1G7KJ30	LC24
A0A1G7LTV1	LC11
A0A1G7NDZ0	LC24
A0A1G7NLP5	LC02
A0A1G7P1H5	LC05
A0A1G7P7U0	LC21
A0A1G7PPZ7	LC12
A0A1G7PXE2	LC00
A0A1G7QAF7	LC11
A0A1G7QAK3	LC05
A0A1G7R4T3	LC10
A0A1G7RIQ8	LC01
A0A1G7TLZ9	LC24
A0A1G7TMJ5	LC00
A0A1G7TRY8	LC30
A0A1G7U780	LC06
A0A1G7V697	LC03
A0A1G7VN43	LC29
A0A1G7VNA5	LC08
A0A1G7W4E2	LC09
A0A1G7WRL6	LC26
A0A1G7X2B9	LC01
A0A1G7X2G2	LC07
A0A1G7XBJ6	LC24
A0A1G7Y7Q0	LC24
A0A1G7YVP1	LC00
A0A1G7Z0A5	LC04
A0A1G7ZD10	LC12
A0A1G7ZFF0	LC18
A0A1G7ZU27	LC03
A0A1G8AJ68	LC01
A0A1G8BAZ5	LC26
A0A1G8BEV5	LC04
A0A1G8BMF4	LC07
A0A1G8C0P9	LC27
A0A1G8CLA8	LC13
A0A1G8CMY4	LC07
A0A1G8CU03	LC05
A0A1G8D0M4	LC14
A0A1G8DJW9	LC07
A0A1G8EHI0	LC08
A0A1G8EMN5	LC02
A0A1G8EPT9	LC22
A0A1G8GT88	LC27
A0A1G8H1V7	LC04
A0A1G8HC41	LC12
A0A1G8J3H6	LC12
A0A1G8JJM7	LC15
A0A1G8K543	LC00
A0A1G8KAZ3	LC08
A0A1G8L6F2	LC18
A0A1G8LT95	LC29
A0A1G8MMQ2	LC11
A0A1G8N166	LC42
A0A1G8N283	LC13
A0A1G8N312	LC30
A0A1G8NJ14	LC02
A0A1G8NY49	LC01
A0A1G8P1S6	LC14
A0A1G8PES6	LC12
A0A1G8Q7L5	LC03
A0A1G8QFI5	LC09
A0A1G8RG25	LC11
A0A1G8RMS8	LC05
A0A1G8SFZ8	LC26
A0A1G8T8H9	LC12
A0A1G8UBU2	LC08
A0A1G8UEU1	LC01
A0A1G8WIQ2	LC02
A0A1G8Y3J8	LC00
A0A1G8YCI9	LC02
A0A1G8Z373	LC02
A0A1G9ADL4	LC22
A0A1G9AUK9	LC08
A0A1G9B638	LC01
A0A1G9BH61	LC11
A0A1G9CAD1	LC13
A0A1G9CSG1	LC06
A0A1G9D4P1	LC27
A0A1G9DC13	LC00
A0A1G9FA84	LC24
A0A1G9GU87	LC10
A0A1G9H5E4	LC28
A0A1G9HCQ7	LC26
A0A1G9HT04	LC06
A0A1G9IT37	LC11
A0A1G9JHJ9	LC21
A0A1G9K6W9	LC04
A0A1G9K7M5	LC24
A0A1G9KB97	LC05
A0A1G9KGT2	LC13
A0A1G9KJL3	LC15
A0A1G9KQH1	LC26
A0A1G9M1R3	LC04
A0A1G9M613	LC01
A0A1G9MWR6	LC44
A0A1G9PJX0	LC17
A0A1G9QEK6	LC05
A0A1G9QNN1	LC08
A0A1G9QVJ3	LC02
A0A1G9QY57	LC00
A0A1G9R2C2	LC05
A0A1G9RYI8	LC33
A0A1G9T257	LC03
A0A1G9TUI0	LC21
A0A1G9TYS7	LC00
A0A1G9UDP6	LC36
A0A1G9UTT9	LC01
A0A1G9W3C9	LC12
A0A1G9XHA1	LC24
A0A1G9Y234	LC27
A0A1G9Y8L1	LC18
A0A1G9Z237	LC12
A0A1G9Z454	LC11
A0A1G9ZIH5	LC03
A0A1G9ZQG1	LC26
A0A1G9ZQZ8	LC08
A0A1G9ZVY0	LC39
A0A1H0B2E5	LC39
A0A1H0BAG0	LC06
A0A1H0BBY2	LC00
A0A1H0BJQ1	LC12
A0A1H0BK99	LC11
A0A1H0BUK7	LC01
A0A1H0BYZ9	LC01
A0A1H0CPV6	LC36
A0A1H0EG97	LC12
A0A1H0EJ72	LC03
A0A1H0EL13	LC05
A0A1H0FB26	LC30
A0A1H0FY70	LC24
A0A1H0GBT5	LC06
A0A1H0HWI6	LC01
A0A1H0HY87	LC26
A0A1H0HZZ5	LC24
A0A1H0IWL2	LC12
A0A1H0KYU1	LC32
A0A1H0L244	LC26
A0A1H0PY65	LC12
A0A1H0QZH0	LC11
A0A1H0R1D0	LC01
A0A1H0RM81	LC24
A0A1H0S3G5	LC13
A0A1H0SIH7	LC12
A0A1H0SJ23	LC06
A0A1H0STL1	LC30
A0A1H0T4H1	LC24
A0A1H0TWW1	LC42
A0A1H0UGS6	LC42
A0A1H0VAN6	LC03
A0A1H0VYB7	LC18
A0A1H0WL34	LC00
A0A1H0X0H8	LC06
A0A1H0XHE2	LC12
A0A1H0XVJ0	LC22
A0A1H0Z0D5	LC25
A0A1H0ZM40	LC12
A0A1H0ZWF2	LC02
A0A1H1AEY2	LC29
A0A1H1B9R5	LC18
A0A1H1BQU0	LC25
A0A1H1D629	LC08
A0A1H1D6L9	LC24
A0A1H1D7W9	LC29
A0A1H1E733	LC00
A0A1H1E9E4	LC12
A0A1H1ECS4	LC24
A0A1H1EYS0	LC13
A0A1H1F5A4	LC02
A0A1H1GD01	LC26
A0A1H1I7P1	LC21
A0A1H1IG39	LC12
A0A1H1LH59	LC27
A0A1H1LL21	LC22
A0A1H1LVP7	LC27
A0A1H1LWK9	LC44
A0A1H1LWX7	LC41
A0A1H1M546	LC18
A0A1H1N376	LC12
A0A1H1NDV5	LC12
A0A1H1PKW5	LC39
A0A1H1PTU1	LC24
A0A1H1R0J6	LC21
A0A1H1R5D0	LC27
A0A1H1R5T1	LC24
A0A1H1R9Z6	LC05
A0A1H1RF05	LC06
A0A1H1RUQ2	LC27
A0A1H1S7W6	LC44
A0A1H1SCY5	LC33
A0A1H1SKN6	LC12
A0A1H1SMY8	LC31
A0A1H1TBP1	LC27
A0A1H1TWT8	LC27
A0A1H1U1H9	LC39
A0A1H1UT07	LC06
A0A1H1VPH4	LC31
A0A1H1W182	LC00
A0A1H1WCS4	LC07
A0A1H1WVN4	LC01
A0A1H1WZM4	LC03
A0A1H1X6M4	LC12
A0A1H1YJI5	LC05
A0A1H1YQS3	LC22
A0A1H1Z3P1	LC03
A0A1H2ALB0	LC12
A0A1H2ATN5	LC13
A0A1H2CBF6	LC01
A0A1H2CSB9	LC41
A0A1H2CSC2	LC12
A0A1H2D444	LC24
A0A1H2E3A3	LC31
A0A1H2EM30	LC05
A0A1H2FAY0	LC03
A0A1H2FHP0	LC12
A0A1H2FVV8	LC41
A0A1H2G0V1	LC21
A0A1H2GCJ7	LC12
A0A1H2HPJ7	LC12
A0A1H2IKI0	LC00
A0A1H2MWZ8	LC12
A0A1H2NJM9	LC44
A0A1H2NX75	LC12
A0A1H2PEP1	LC12
A0A1H2PPS8	LC29
A0A1H2Q3D2	LC27
A0A1H2Q6M0	LC43
A0A1H2QQC9	LC05
A0A1H2R3H0	LC04
A0A1H2RLZ7	LC12
A0A1H2RNU6	LC11
A0A1H2RZN5	LC05
A0A1H2SQ24	LC06
A0A1H2TX08	LC07
A0A1H2VHN9	LC05
